#Read position (bp)	Clipping profile
0.0	8.594372220199684
1.0	1.7864210952432076
2.0	1.7243068149989702
3.0	1.6471382932198715
4.0	1.5567835571430046
5.0	1.449931343798664
6.0	1.3974439999668293
7.0	1.3374315142099764
8.0	1.2786343015398538
9.0	1.2170456018402898
10.0	1.1525487953317937
11.0	1.109115315149796
12.0	1.0634241076983348
13.0	1.019055030823861
14.0	0.9749537572891683
15.0	0.9308704252590125
16.0	0.8959757820083769
17.0	0.8607885339263944
18.0	0.8269775047806657
19.0	0.7964814324438121
20.0	0.7663046133494561
21.0	0.7409221336513173
22.0	0.7157483558662492
23.0	0.6919114840148464
24.0	0.6695516201398908
25.0	0.64807563920904
26.0	0.6289787545489333
27.0	0.6103409613284511
28.0	0.5925569726474085
29.0	0.5761879882138985
30.0	0.829877168528639
31.0	0.815644806208968
32.0	0.7761167694116387
33.0	0.7441056953240242
34.0	0.7195189741212346
35.0	0.7962075606539671
36.0	0.7696472739521019
37.0	0.7536988594925926
38.0	0.7281324793729491
39.0	0.710862989719072
40.0	0.7363755453251045
41.0	0.7166897571631345
42.0	0.6999856887478295
43.0	0.6826117162145896
44.0	0.6841974286008791
45.0	0.6871437930297798
46.0	0.6725768744196237
47.0	0.6669099974424649
48.0	0.6594001585654341
49.0	0.6573661724113733
50.0	0.6552179410887162
51.0	0.6502389097340295
52.0	0.6445802119721744
53.0	0.6365508610005339
54.0	0.6302193568185394
55.0	0.6332240311371856
56.0	0.6246387573705514
57.0	0.6234928756910747
58.0	0.618756582338948
59.0	0.6108610011143706
60.0	0.6097966477422755
61.0	0.6031192419066328
62.0	0.5967194017000045
63.0	0.5909512079913425
64.0	0.587661844210998
65.0	0.5872739910982117
66.0	0.5851220659363854
67.0	0.5839532296849274
68.0	0.584113911688796
69.0	0.5838991413256613
70.0	0.5839582427523716
71.0	0.5854365699570936
72.0	0.5854940883098741
73.0	0.5871119898660684
74.0	0.5887108945351055
75.0	0.5901195664869191
76.0	0.5914889254361441
77.0	0.5928374405786274
78.0	0.5940250098715874
79.0	0.595609139183947
80.0	0.5970244072771345
81.0	0.5982457488139287
82.0	0.5985085390862654
83.0	0.5997319913882995
84.0	0.6007612532882853
85.0	0.6021591075682455
86.0	0.6032464155123219
87.0	0.6043471795848011
88.0	0.6052402971268293
89.0	0.6064495017634955
90.0	0.6079162197593995
91.0	0.609574753546457
92.0	0.6110108654463859
93.0	0.6128142504980146
94.0	0.6146791115872481
95.0	0.6169782626245404
96.0	0.6195565623647766
97.0	0.6222683680064209
98.0	0.6254495550682332
99.0	0.6287352250094083
100.0	0.6328377610983291
101.0	0.6364020520511384
102.0	0.6401185819468577
103.0	0.6443799531200624
104.0	0.6493574014008194
105.0	0.6550137245517799
106.0	0.6612169997454654
107.0	0.6677806881038219
108.0	0.6741639060341879
109.0	0.6823980012340748
110.0	0.6909093982173211
111.0	0.699216314817976
112.0	0.7073936832020471
113.0	0.7151211947444173
114.0	0.724275055897483
115.0	0.7336523943202969
116.0	0.7416287123152911
117.0	0.7477530976581447
118.0	0.7519292466847985
119.0	0.7582612785581029
120.0	0.7601702018717142
121.0	0.7465547106933317
122.0	0.7077440702318295
123.0	0.6151258022810898
124.0	0.2693674168235741
