#Position (bp)	insert size
384368.0	974.5605947346324
1153103.0	950.3986556204482
1921838.0	489.23936019894876
2690573.0	518.5509359436717
3459308.0	509.2560898341927
4228043.0	569.9421152160878
4996778.0	474.93347122978565
5765513.0	462.69183799176926
6534248.0	457.30785435970097
7302983.0	427.06462355619254
8071718.0	391.92404161158686
8840453.0	414.1459426725878
9609188.0	396.26529045667655
1.0377923E7	399.1516033236344
1.0801324E7	385.16442738323735
1.11856915E7	825.5644510435501
1.1915393E7	464.9145112365048
1.2684128E7	497.5222873153337
1.3452863E7	508.56284308074316
1.4221598E7	570.5196592773475
1.4990333E7	616.7969825092349
1.5759068E7	425.75865600107437
1.6527803E7	409.2202600667428
1.7296538E7	429.90209866719715
1.8065273E7	463.6214023954237
1.8834008E7	442.22654069143226
1.9602743E7	452.9294120889722
2.018777E7	394.8968718529708
2.05721375E7	1423.4558303886927
2.1140213E7	898.1944303797468
2.1908948E7	697.3512371849225
2.2677683E7	544.5360713044545
2.3446418E7	631.7294840426482
2.4215153E7	456.78791138885254
2.4983888E7	473.8950546173517
2.5752623E7	413.0108845916821
2.6521358E7	390.42367065405296
2.7290093E7	389.42795293806597
2.8058828E7	386.87659948377177
2.86485735E7	389.28879952007463
2.9032941E7	630.4035056696359
2.9596298E7	462.76237269646543
3.0365033E7	450.9109380548932
3.1133768E7	564.6209365441779
3.1902503E7	501.06293559760576
3.2671238E7	440.82221947296796
3.3439973E7	394.261860158076
3.4208708E7	388.0689988403556
3.4977443E7	403.07769540847255
3.5659712E7	386.5320237126584
3.60440795E7	393.34081196581195
3.6514913E7	749.3497687618246
3.7283648E7	452.2990235693437
3.8052383E7	523.1703489337891
3.8821118E7	408.48701522817004
3.9589853E7	420.58819172079313
4.0358588E7	426.5296115801297
4.1127323E7	387.7415821064248
4.1896058E7	391.3590254060808
4.2664793E7	390.8636870082926
4.3049519E7	130.8982630272953
4.34338865E7	936.9620339083089
4.4202263E7	960.3364673796024
4.4970998E7	1174.2246265403062
4.5739733E7	1478.614417333688
4.6508468E7	1843.0692497126909
4.7277203E7	549.5404871758709
4.8045938E7	428.0533071524672
4.8668911E7	384.8709504206193
4.90532785E7	514.9837295990328
4.9583408E7	518.4875113419948
5.0352143E7	445.79099149578406
5.1120878E7	387.49338870347253
5.1889613E7	387.4775764077085
5.2658348E7	393.4079211632702
5.3427083E7	393.1126377799909
5.38687855E7	386.36410256410255
5.4253153E7	2456.7067164492178
5.4964553E7	3427.77862112587
5.5733288E7	1668.5279932500475
5.6502023E7	855.8167812277791
5.7270758E7	537.6526810285518
5.8039493E7	408.6094008139582
5.85039505E7	385.19477557789986
5.8888318E7	763.1640781007322
5.9576963E7	864.0951521244076
6.0345698E7	864.6413900093081
6.1114433E7	499.4752691500705
6.1883168E7	415.420150381694
6.2651903E7	399.853236083965
6.3087631E7	369.5231715006305
6.34719985E7	923.3609673212945
6.4189373E7	748.3762498239685
6.4958108E7	693.2313863578611
6.5726843E7	450.0503314820968
6.6495578E7	405.0152530917195
6.7140034E7	388.68067313648567
6.75244015E7	399.30464554624234
6.8033048E7	510.28407081577853
6.8801783E7	444.3757421073073
6.9570518E7	389.5002546995167
7.0339253E7	393.7592304355592
7.11040115E7	385.0468817826653
7.1488379E7	397.94642857142856
7.1876723E7	428.8116709976274
7.2645458E7	410.76587471461187
7.3414193E7	389.8701905437468
7.4182928E7	394.0499908775771
7.4951663E7	390.4693749766364
7.5358208E7	389.1434782608696
7.57425755E7	1055.395593042359
7.6489133E7	752.7987076455256
7.7257868E7	592.1719117988017
7.8026603E7	469.09883734531076
7.8795338E7	404.92689648674434
7.92080895E7	385.20407185628744
7.9592457E7	983.8354257542986
8.0332808E7	1118.323585746838
8.1101543E7	469.4609559867487
8.1870278E7	458.7520290034194
8.26063115E7	401.13284792859855
8.2990679E7	587.1740498034076
8.3407748E7	491.4447029738966
8.4176483E7	689.8746048243904
8.4945218E7	420.79883510822344
8.5713953E7	398.04465886057926
8.6362088E7	376.7138178744982
8.67464555E7	753.6757281553398
8.7251423E7	440.07006806405604
8.8020158E7	623.056054118856
8.8788893E7	535.7650318232871
8.9557628E7	561.840485243527
9.0098611E7	375.3934347955834
9.04829785E7	1334.8455022557775
9.1095098E7	945.7996549229142
9.1863833E7	567.52350967854
9.2632568E7	526.1690561321901
9.3401303E7	394.76981659737567
9.38242175E7	379.14566590126293
9.4208585E7	834.9394771640729
9.4938773E7	653.3331524083893
9.5707508E7	651.1002309998526
9.6476243E7	442.27197075376404
9.71220675E7	414.6006378935939
9.7506435E7	1364.60790984478
9.8013713E7	614.9303173719377
9.8782448E7	554.1799072372452
9.9551183E7	488.00898534086895
1.00269334E8	392.3337586729404
1.006537015E8	689.1203007518797
1.01088653E8	610.8106129590944
1.01857388E8	470.87668368587407
1.02626123E8	405.08721125169853
1.033545365E8	385.04467460594543
1.03738904E8	639.0286259541984
1.04163593E8	777.8929490766648
1.04932328E8	834.4057938111563
1.05701063E8	554.9038893380041
1.06347158E8	467.9818765771966
1.067315255E8	1452.6667717670375
1.07238533E8	772.6790215632944
1.08007268E8	434.4067045677318
1.08776003E8	396.11997838483524
1.09309377E8	390.6634296096736
1.096937445E8	390.71943390960286
1.10313473E8	393.4795653108692
1.11082208E8	390.3364456866936
1.11850943E8	388.00644070259807
1.12235708E8	70.16666666666667
1.126200755E8	497.5615330520394
1.13388413E8	510.3624971584451
1.14157148E8	418.18507136038744
1.147696095E8	385.264909452925
1.15153977E8	388.5123409669211
1.15694618E8	427.45377558221594
1.16463353E8	405.40142493376885
1.17232088E8	396.6804211488142
1.17668795E8	390.1542614390654
1.180531625E8	409.1751592356688
1.18769558E8	388.50949111298297
1.19538293E8	387.6955792026572
1.2014897E8	390.98537991626057
1.205333375E8	784.2703879394372
1.21075763E8	555.9889968610165
1.21844498E8	420.58741881339853
1.225916085E8	389.9532590894202
1.22975976E8	391.76973684210526
1.23381968E8	419.91942366306455
1.24150703E8	416.24822342075413
1.24919438E8	427.47655879064496
1.253769895E8	379.89891103349083
1.25761357E8	667.1972016547653
1.26456908E8	422.8342091846739
1.27225643E8	397.2963407991285
1.277254535E8	383.0204507512521
1.28109821E8	595.4948121748628
1.28763113E8	492.2501013876889
1.29531848E8	389.3187303444745
1.300272615E8	389.11806499443964
1.30411629E8	539.1560499022997
1.31069318E8	446.0524373787636
1.31838053E8	401.1667550031984
1.322676755E8	374.8477151472976
1.32652043E8	399.42336108830773
1.33375523E8	408.07522023602655
1.34030498E8	381.51781232784475
1.344148655E8	362.80950048971596
1.34912993E8	456.9715199231167
1.35681728E8	436.2809270161667
1.361569665E8	379.90020498435644
1.36541334E8	557.833407423872
1.37219198E8	429.4024901261921
1.37895604E8	368.24552735593926
1.382799715E8	534.0717655468192
1.38756668E8	565.3742450054204
1.39525403E8	408.9517028772754
1.400102465E8	388.88765137452486
1.40394614E8	496.4937370385732
1.41062873E8	408.9499262278874
1.417121025E8	384.27702449621694
1.4209647E8	434.52966312232934
1.42600343E8	436.5075336619694
1.43369078E8	392.34078704686044
1.437831155E8	384.9992395437262
1.44167483E8	606.1365958645105
1.44906548E8	396.6742810362585
1.45465214E8	363.269438722966
1.458495815E8	421.63098564408904
1.46444018E8	440.26174687223346
1.47106683E8	378.53505128024597
1.474910505E8	398.85310642455823
1.47981488E8	418.9421695402299
1.48737048E8	409.2220744144798
1.491214155E8	380.41947029348603
1.49518958E8	428.78433147084286
1.50287693E8	418.281448321264
1.50728883E8	385.28101722970433
1.511132505E8	479.5699772985244
1.51825163E8	387.8731565184909
1.52332369E8	396.05084207181443
1.527167365E8	394.42954934398176
1.53362633E8	387.70431870715373
1.5389724E8	393.33213855230605
1.542816075E8	456.81804746587846
1.54900103E8	477.32244410138935
1.55461321E8	336.83827799520265
1.558456885E8	398.18144310113223
1.56437573E8	397.89673535540635
1.57018682E8	385.2792726165358
1.574030495E8	383.125
1.57975043E8	446.28663512107937
1.585640605E8	392.89610082370905
1.58948428E8	396.16911058064915
1.59512513E8	442.0096760438647
1.6009777E8	386.9207849262911
1.604821375E8	505.3537032510389
1.61049983E8	384.62325464905143
1.616289075E8	432.74295989467936
1.62013275E8	399.747795828619
1.62587453E8	473.9071552849065
1.631586895E8	378.1795173631548
1.63543057E8	387.5166542157191
1.64124923E8	393.5600469238054
1.64685819E8	393.23181693111985
1.650701865E8	416.70254618701415
1.65662393E8	404.5688922356091
1.66204869E8	407.0379895780803
1.665892365E8	421.0161788953009
1.67199863E8	394.10218152322403
1.67707403E8	345.6045701849837
1.680917705E8	413.5799678028977
1.68737333E8	392.07086690455816
1.69197014E8	378.0640687838025
1.695813815E8	422.96620254950847
1.70274803E8	386.4513710065367
1.706842435E8	379.9451722464823
1.71068611E8	388.9356694845923
1.717757825E8	385.0489099088707
1.7216015E8	389.56368927691966
1.72581008E8	417.2806330663674
1.732448375E8	405.5177906660915
1.73629205E8	518.2509952359198
1.74118478E8	444.5952063350907
1.7470787E8	369.96647804157953
1.750922375E8	410.92854004978767
1.75655948E8	404.37571562506236
1.761671155E8	390.7781475318913
1.76551483E8	432.4319992010187
1.77193418E8	380.35256361391043
1.775981795E8	368.7823806678617
1.77982547E8	392.9647807038206
1.786433205E8	387.1815116070628
1.79027688E8	389.1163914619412
1.79499623E8	458.5694459592104
1.80059845E8	395.99451744843793
1.804442125E8	383.79792224146075
1.81037093E8	388.46844171156516
1.814629515E8	416.7934290030212
1.81847319E8	599.2856403622251
1.824697645E8	415.1121364092277
1.82854132E8	409.99929157565384
1.83343298E8	632.8160899948866
1.83845386E8	382.28006444236564
1.842297535E8	388.5592491200626
1.848263935E8	413.2712376476512
1.85210761E8	381.2957677566664
1.85649503E8	388.78653775127947
1.861815255E8	389.4028097780275
1.86565893E8	435.05617115172447
1.871516995E8	390.9103569877086
1.87536067E8	385.8074349442379
1.87955708E8	484.87697676017603
1.88487033E8	378.00223713646534
1.888714005E8	433.7189089227924
1.89437117E8	410.045515268971
1.898214845E8	1323.7288574793874
1.90261913E8	386.03888256414746
1.907655555E8	391.5994420680677
1.91149923E8	414.2834994005044
1.917006725E8	385.85117643167433
1.9208504E8	385.4166325276526
1.92568118E8	389.2865920561773
1.93014003E8	387.99670016499175
1.933983705E8	375.0280498208497
1.939421735E8	377.3667454572315
1.94326541E8	437.7269005049816
1.948700135E8	374.8997825955674
1.95254381E8	429.3905013192612
1.95643058E8	382.5104883554479
1.96173218E8	375.4242943061592
1.965575855E8	383.3126061841658
1.970859405E8	383.71742347534854
1.97470308E8	367.00277922529096
1.97949263E8	378.5558419725413
1.98379719E8	377.9633027522936
1.987640865E8	470.47984151630345
1.99284827E8	349.7853015382111
1.996691945E8	573.5887560687039
2.001689555E8	403.2047277037864
2.00553323E8	1679.16359186747
2.01024203E8	548.8910694086703
2.0143258E8	362.42706600110927
2.018169475E8	401.11127585963425
2.023091665E8	385.8227638563845
2.02693534E8	422.3013943898866
2.03168465E8	422.01142041399
2.035528325E8	522.6348712362873
2.04022535E8	368.22186257518604
2.044069025E8	428.7383709519136
2.048603755E8	399.7365538247789
2.05244743E8	377.3225806451613
2.05636613E8	426.58749876274373
2.060816995E8	364.61343133979284
2.06466067E8	381.78524988637037
2.069158215E8	365.10401920354525
2.07300189E8	421.9667318982387
2.07743072E8	440.9304824099431
2.081274395E8	521.6968346474689
2.08563085E8	384.53764071724544
2.089474525E8	458.66131979695433
2.09377998E8	378.39522558232756
2.097623655E8	404.46027397260275
