#GC Content (%)	Sample
1.0	1.0192514515414733E-6
2.0	8.493762096178945E-7
3.0	6.795009676943156E-7
4.0	8.493762096178945E-7
5.0	2.3782533869301047E-6
6.0	1.52887717731221E-6
7.0	2.0385029030829466E-6
8.0	4.926382015783788E-6
9.0	7.474510644637472E-6
10.0	1.4949021289274943E-5
11.0	2.650053774007831E-5
12.0	4.7734942980525676E-5
13.0	8.255936757485934E-5
14.0	1.4473370611888924E-4
15.0	2.48527478934196E-4
16.0	3.913925573919258E-4
17.0	6.360129057618794E-4
18.0	9.665901265451639E-4
19.0	0.0014120030108687879
20.0	0.002049205043324132
21.0	0.0028646062045573108
22.0	0.0038223628185224488
23.0	0.004963244943281205
24.0	0.006231363624240721
25.0	0.00857224445794764
26.0	0.008514996501419392
27.0	0.011047836358499954
28.0	0.013068502361180925
29.0	0.01520281490070877
30.0	0.017587353671590047
31.0	0.020210737032615878
32.0	0.02290258011613691
33.0	0.025951500958181297
34.0	0.028831735684995585
35.0	0.03213869701952189
36.0	0.035632351244922214
37.0	0.03955239232755072
38.0	0.04329168615277255
39.0	0.047203912974272566
40.0	0.050584430288551786
41.0	0.053009908992736644
42.0	0.0534116639398859
43.0	0.052978821823464625
44.0	0.051653625061218796
45.0	0.04932089823912421
46.0	0.04604383494717645
47.0	0.04256207198871077
48.0	0.03850664033826917
49.0	0.033782579735616367
50.0	0.029305347859478525
51.0	0.026914353829404145
52.0	0.018263627009687814
53.0	0.016342677774015983
54.0	0.012670654544595903
55.0	0.009412107654017812
56.0	0.006982042318301015
57.0	0.004836008387080444
58.0	0.0033922387059719472
59.0	0.0022972228965325576
60.0	0.00148046273336399
61.0	9.49262851868959E-4
62.0	6.139291243118141E-4
63.0	3.9173230787577294E-4
64.0	2.469986017568837E-4
65.0	1.4133620128041764E-4
66.0	9.122300491296187E-5
67.0	7.389573023675683E-5
68.0	3.567380080395157E-5
69.0	2.0385029030829466E-5
70.0	1.4949021289274943E-5
71.0	8.833512580026103E-6
72.0	8.323886854255365E-6
73.0	2.5481286288536837E-6
74.0	2.5481286288536833E-6
75.0	3.5673800803951566E-6
76.0	3.397504838471578E-7
77.0	0.0
78.0	1.698752419235789E-7
79.0	0.0
80.0	8.493762096178945E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	1.698752419235789E-7
85.0	0.0
86.0	3.397504838471578E-7
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	3.397504838471578E-7
98.0	0.0
99.0	0.0
100.0	8.493762096178945E-6
