#Position (bp)	Coverage
384368.0	26.571762701060834
1153103.0	26.84207171522046
1921838.0	28.699299498526802
2690573.0	31.191824230716698
3459308.0	26.872435884927835
4228043.0	28.45850650744405
4996778.0	28.253771455703202
5765513.0	30.026702309638562
6534248.0	28.746774896420742
7302983.0	25.4859242781973
8071718.0	23.32093504263498
8840453.0	20.522334744742988
9609188.0	23.407031031499802
1.0377923E7	18.437237799761945
1.0801324E7	22.151062548836258
1.11856915E7	24.894570184227444
1.1915393E7	24.02263849050713
1.2684128E7	29.53688722381575
1.3452863E7	30.261540062570326
1.4221598E7	27.415171678146564
1.4990333E7	30.10853284942145
1.5759068E7	32.7386316480972
1.6527803E7	30.70716436743481
1.7296538E7	27.26034979544316
1.8065273E7	13.704070973742578
1.8834008E7	18.644910144588188
1.9602743E7	20.720923335089466
2.018777E7	16.960363202340282
2.05721375E7	12.166024342979075
2.1140213E7	12.313814253286242
2.1908948E7	17.011906573786806
2.2677683E7	25.308387155521732
2.3446418E7	30.202597774265513
2.4215153E7	28.8195581051988
2.4983888E7	33.26295277306224
2.5752623E7	32.65911399897234
2.6521358E7	31.138830676370922
2.7290093E7	25.549764223041752
2.8058828E7	19.92125244720222
2.86485735E7	21.834768086163074
2.9032941E7	24.715245866377636
2.9596298E7	30.46614372963375
3.0365033E7	32.013124158520164
3.1133768E7	31.44961917956123
3.1902503E7	29.15857219978276
3.2671238E7	27.859167333346342
3.3439973E7	30.23307771858963
3.4208708E7	33.655237500569115
3.4977443E7	25.530973612493252
3.5659712E7	21.455749635366054
3.60440795E7	21.66624453542433
3.6514913E7	25.963759943283446
3.7283648E7	28.46527997294256
3.8052383E7	30.689675896115045
3.8821118E7	32.576830767429605
3.9589853E7	34.19719929494559
4.0358588E7	29.382391851548324
4.1127323E7	29.97804965300136
4.1896058E7	32.46161160868179
4.2664793E7	31.846867906365652
4.3049519E7	97.76011157601116
4.34338865E7	20.96636797575057
4.4202263E7	16.3740300623752
4.4970998E7	13.112483495612922
4.5739733E7	14.356875906521752
4.6508468E7	20.37198384358719
4.7277203E7	14.29826923452165
4.8045938E7	18.015503391936104
4.8668911E7	10.38540394081444
4.90532785E7	27.314313744322938
4.9583408E7	26.98303576655154
5.0352143E7	29.798271185779235
5.1120878E7	32.411755676533524
5.1889613E7	28.076990120132425
5.2658348E7	30.206272642718233
5.3427083E7	31.859683766187306
5.38687855E7	31.364149297985524
5.4253153E7	23.632408093996773
5.4964553E7	21.540750713835067
5.5733288E7	20.10245403162338
5.6502023E7	25.21458239835574
