#Read position (bp)	Clipping profile
0.0	8.536214606708228
1.0	1.8151352919609738
2.0	1.7515111312627372
3.0	1.671898324274744
4.0	1.5791051880471056
5.0	1.4689211376375733
6.0	1.4156294312708877
7.0	1.3539020116895621
8.0	1.2930242134550394
9.0	1.229793595270402
10.0	1.16369532324868
11.0	1.1190094870592766
12.0	1.0722968923815066
13.0	1.0269443899384672
14.0	0.9817344121308034
15.0	0.9369139047042998
16.0	0.9014531936895571
17.0	0.8657243036670254
18.0	0.8313953546038089
19.0	0.8000120116272295
20.0	0.7692089475232524
21.0	0.7432793533493245
22.0	0.7178573213972965
23.0	0.693525748339196
24.0	0.6706645059582903
25.0	0.6484804010287218
26.0	0.628947545183749
27.0	0.6099926412785556
28.0	0.5920499531511343
29.0	0.5754571769273453
30.0	0.8274831987960403
31.0	0.8007385964010442
32.0	0.768839837804289
33.0	0.7434512555115841
34.0	0.7153293997522916
35.0	0.7970067778870166
36.0	0.7712697374041476
37.0	0.7469573615418325
38.0	0.7237520239698048
39.0	0.6995682111459308
40.0	0.7265652857521644
41.0	0.7107694840200695
42.0	0.700669722970765
43.0	0.6803486186321822
44.0	0.6743460045500321
45.0	0.6818343652393257
46.0	0.6731249465514438
47.0	0.6699131975232371
48.0	0.6605574732439157
49.0	0.6566863296271431
50.0	0.662177018488351
51.0	0.6533931379501501
52.0	0.6459457894518523
53.0	0.6408643499007954
54.0	0.6347802931698591
55.0	0.6342436442876782
56.0	0.630341668811008
57.0	0.6268495243776943
58.0	0.6202805930198769
59.0	0.6179492971983702
60.0	0.6130464497414375
61.0	0.6091822869231324
62.0	0.6004897384982133
63.0	0.5935956182784563
64.0	0.5893239513496171
65.0	0.5901026012453343
66.0	0.5891535035203715
67.0	0.5880191237694201
68.0	0.5879955635745926
69.0	0.5864187757207701
70.0	0.5886537946967473
71.0	0.5874621142250427
72.0	0.5886913164885096
73.0	0.5902555970784114
74.0	0.5908960853377947
75.0	0.5933222036718168
76.0	0.5940179565857338
77.0	0.5950007948366222
78.0	0.5956156868349584
79.0	0.5965275536347617
80.0	0.5978492514779216
81.0	0.5984920666701274
82.0	0.5996066674920879
83.0	0.6000135898694164
84.0	0.6007576266393995
85.0	0.6018867707915003
86.0	0.6026854904828114
87.0	0.6037424997174158
88.0	0.6041977059508105
89.0	0.6052416261882886
90.0	0.6065604153654204
91.0	0.6084175986243499
92.0	0.6097090463408177
93.0	0.6115182366102839
94.0	0.6135691370266836
95.0	0.6159353368405271
96.0	0.6182768129931322
97.0	0.6205147406351373
98.0	0.6234905968484667
99.0	0.6266278840263545
100.0	0.6306223550827178
101.0	0.6339711022808471
102.0	0.6372724382227186
103.0	0.6413506788606905
104.0	0.6459844747100258
105.0	0.6515123944963932
106.0	0.6572779522972547
107.0	0.6633535738967096
108.0	0.6691691607532542
109.0	0.6767977191451012
110.0	0.6846220307606383
111.0	0.6925266215585504
112.0	0.7000234173793255
113.0	0.7071592477460158
114.0	0.7155094461794298
115.0	0.7242386437963027
116.0	0.7311348000822792
117.0	0.7361062920574747
118.0	0.7393605076096914
119.0	0.7444404928277342
120.0	0.7447589917578091
121.0	0.7292386406985734
122.0	0.6891772926272155
123.0	0.596286134354431
124.0	0.26142683047145177
