#Position (bp)	insert size
384368.0	1201.8453624214533
1153103.0	708.4020357616182
1921838.0	546.7443835451425
2690573.0	635.0790180741121
3459308.0	427.4899538478051
4228043.0	474.56384377338645
4996778.0	519.6832282317464
5765513.0	487.67938989659586
6534248.0	434.56503899052876
7302983.0	427.656689197661
8071718.0	453.0196158561504
8840453.0	418.5762664876853
9609188.0	427.96729054583113
1.0377923E7	415.4669555443335
1.0801324E7	407.2244177840508
1.11856915E7	660.3324264448677
1.1915393E7	522.885118089426
1.2684128E7	557.2810282397026
1.3452863E7	513.4843340430565
1.4221598E7	445.3945278115438
1.4990333E7	591.3269905764755
1.5759068E7	442.15421274515796
1.6527803E7	549.502966818356
1.7296538E7	448.72384838902656
1.8065273E7	526.5750426441595
1.8834008E7	440.6655883606066
1.9602743E7	451.36955995270455
2.018777E7	412.1625697170006
2.05721375E7	411.5630180658874
2.1140213E7	581.7272413623145
2.1908948E7	1189.436505564444
2.2677683E7	458.3215628798982
2.3446418E7	478.7499453011292
2.4215153E7	436.29063192519055
2.4983888E7	445.49704401326755
2.5752623E7	426.6725394949893
2.6521358E7	428.70962224592637
2.7290093E7	422.7642459642184
2.8058828E7	411.20393000869734
2.86485735E7	410.7137756107171
2.9032941E7	506.3879540531009
2.9596298E7	570.2474299526905
3.0365033E7	420.6992699948239
3.1133768E7	517.1481636173787
3.1902503E7	450.348000471865
3.2671238E7	440.96024543673303
3.3439973E7	422.75607647137076
3.4208708E7	420.4186163887867
3.4977443E7	413.83358012787403
3.5659712E7	411.71426808630656
3.60440795E7	662.3124885046901
3.6514913E7	414.3979384453003
3.7283648E7	630.3704205274412
3.8052383E7	559.1745501069285
3.8821118E7	511.00369481043055
3.9589853E7	451.319831759915
4.0358588E7	413.7833742073534
4.1127323E7	416.6188884963863
4.1896058E7	413.6293793551902
4.2664793E7	414.9790521547634
4.3049519E7	121.40131578947368
4.34338865E7	1034.989560374099
4.4202263E7	1602.8579578671504
4.4970998E7	1629.9614619852441
4.5739733E7	1095.037700355615
4.6508468E7	1374.2169277595308
4.7277203E7	671.3523875664544
4.8045938E7	436.54979358155475
4.8668911E7	431.8123578268
4.90532785E7	471.3424124513619
4.9583408E7	485.4761083796267
5.0352143E7	432.9824295260773
5.1120878E7	439.43805076249276
5.1889613E7	436.24123694399657
5.2658348E7	415.80973753629513
5.3427083E7	413.32379713914173
5.38687855E7	413.70591453407087
5.4253153E7	1836.6807013089597
5.4964553E7	2962.9946447649572
5.5733288E7	1794.2555070536541
5.6502023E7	742.3363816878102
5.7270758E7	565.679639236283
5.8039493E7	445.2584264065598
5.85039505E7	409.1060095253385
5.8888318E7	1187.7522809282132
5.9576963E7	845.0113241929886
6.0345698E7	970.4423550629014
6.1114433E7	459.8693802502073
6.1883168E7	409.1084156716822
6.2651903E7	417.01730406679235
6.3087631E7	398.5630805607161
6.34719985E7	700.7345696319142
6.4189373E7	649.929836929299
6.4958108E7	674.2407824096005
6.5726843E7	473.35600805948326
