#Position (bp)	Coverage
384368.0	28.483593175801804
1153103.0	30.517339525324072
1921838.0	32.224817394810955
2690573.0	34.72402453381204
3459308.0	31.474184211724456
4228043.0	32.66847743370602
4996778.0	32.08363350179191
5765513.0	33.862379103332096
6534248.0	32.141501297586295
7302983.0	29.235446545298444
8071718.0	27.06421718797765
8840453.0	21.523195899757393
9609188.0	25.402020202020203
1.0377923E7	20.630210670777316
1.0801324E7	29.520463191873645
1.11856915E7	27.927140102046135
1.1915393E7	28.30396170331779
1.2684128E7	32.91349164536544
1.3452863E7	33.99407207945521
1.4221598E7	31.723354602041017
1.4990333E7	33.822034901494014
1.5759068E7	35.060965092001794
1.6527803E7	33.686739903868045
1.7296538E7	30.679526754993592
1.8065273E7	12.829236342822949
1.8834008E7	20.189917201636455
1.9602743E7	22.056893467840023
2.018777E7	19.086933337320186
2.05721375E7	11.499436605918087
2.1140213E7	13.217843600200329
2.1908948E7	18.28911913728398
2.2677683E7	29.94805362055845
2.3446418E7	33.573280779462365
2.4215153E7	32.09901981827288
2.4983888E7	36.46737822526618
2.5752623E7	36.296423344845756
2.6521358E7	34.222352306061254
2.7290093E7	28.03132418843945
2.8058828E7	21.914317677743306
2.86485735E7	25.885963929924333
2.9032941E7	28.714687174387326
2.9596298E7	33.35614483534638
3.0365033E7	35.09127202481999
3.1133768E7	34.667655303843325
3.1902503E7	32.85890846650666
3.2671238E7	31.99419695994068
3.3439973E7	33.42382355428074
3.4208708E7	36.236922996871485
3.4977443E7	29.59980877675662
3.5659712E7	26.917071582385454
3.60440795E7	25.059688201142645
3.6514913E7	29.124730889057997
3.7283648E7	32.40657183554801
3.8052383E7	34.077710784600676
3.8821118E7	34.844694205415394
3.9589853E7	37.76939257351363
4.0358588E7	33.272728573565665
4.1127323E7	33.92128106564681
4.1896058E7	35.73499060144263
4.2664793E7	35.1115026634666
4.3049519E7	165.68619246861925
4.34338865E7	22.619725058527273
4.4202263E7	18.595774876908166
4.4970998E7	15.350344396963843
4.5739733E7	32.75188068710284
4.6508468E7	23.847247751175633
4.7277203E7	19.225489928258764
4.8045938E7	22.650455618646216
4.8668911E7	12.471124932157892
4.90532785E7	30.509282254634268
4.9583408E7	30.901667024397224
5.0352143E7	33.48995687720736
5.1120878E7	35.025419682985685
5.1889613E7	32.475196263992146
5.2658348E7	33.57479495534872
5.3427083E7	34.817755143189785
5.38687855E7	34.35998953518793
5.4253153E7	24.803953735485006
5.4964553E7	23.30088782220141
5.5733288E7	23.808108125687006
5.6502023E7	28.732915764210034
5.7270758E7	28.742900999694303
5.8039493E7	30.916322269702825
5.85039505E7	28.60463853165189
5.8888318E7	17.201013877135182
5.9576963E7	17.812753419578918
6.0345698E7	16.046610340364364
6.1114433E7	18.159340995271453
6.1883168E7	16.942895796340743
6.2651903E7	20.798544361841206
6.3087631E7	17.19043817719843
6.34719985E7	11.160227863077953
6.4189373E7	20.32017925553019
6.4958108E7	18.030218475807658
6.5726843E7	20.601002946398953
6.6495578E7	16.798572980285794
6.7140034E7	13.137731964312147
6.75244015E7	35.5402240121018
6.8033048E7	29.18815066310237
6.8801783E7	27.370173076547836
6.9570518E7	24.740478838611484
7.0339253E7	24.621351961339084
7.11040115E7	21.289828097930812
7.1488379E7	19.63460329435433
7.1876723E7	27.009821329847085
7.2645458E7	34.092591074947805
7.3414193E7	36.53060547522878
7.4182928E7	34.23349138519776
7.4951663E7	32.78232290711364
7.5358208E7	26.142644572201554
7.57425755E7	20.793975537701208
7.6489133E7	27.718965573312
7.7257868E7	25.344155007902593
7.8026603E7	25.431657203067378
7.8795338E7	26.399458851229618
7.92080895E7	18.58106679819617
7.9592457E7	25.88153804881406
8.0332808E7	22.086135014016534
8.1101543E7	24.508998549565195
8.1870278E7	23.225852862169667
8.26063115E7	19.152607872242413
8.2990679E7	15.01782792838249
8.3407748E7	17.62502422811502
8.4176483E7	15.917810428821376
8.4945218E7	17.7256870052749
8.5713953E7	18.397970692111066
8.6362088E7	17.748756006710455
8.67464555E7	13.593221393034826
8.7251423E7	19.274228440229727
8.8020158E7	19.591353327219394
8.8788893E7	18.150652695662355
8.9557628E7	17.71015369405582
9.0098611E7	11.850972604882658
9.04829785E7	28.137730952966386
9.1095098E7	29.20713249689425
9.1863833E7	28.923698023376065
9.2632568E7	29.44572837193571
9.3401303E7	23.174333157720152
9.38242175E7	22.450099878070926
9.4208585E7	16.589304277797297
9.4938773E7	22.309863607094773
9.5707508E7	21.027134187984156
9.6476243E7	20.815672500926848
9.71220675E7	12.459195967214495
9.7506435E7	22.574592894829976
9.8013713E7	25.599444542007323
9.8782448E7	18.906973144191433
9.9551183E7	15.014631830214574
1.00269334E8	14.629912802759872
1.006537015E8	4.531413095049818
1.01088653E8	17.432712183001946
1.01857388E8	21.728097458812204
1.02626123E8	18.507982594782337
1.033545365E8	27.37503124582178
1.03738904E8	13.247498232952642
1.04163593E8	11.272845649020795
1.04932328E8	12.408256421263504
1.05701063E8	8.619197772964675
1.06347158E8	8.342933012388839
1.067315255E8	24.375301696020873
1.07238533E8	18.329039265806813
1.08007268E8	17.527832087780574
1.08776003E8	21.99916226007662
1.09309377E8	25.69467774895726
1.096937445E8	30.8723535335081
1.10313473E8	31.193062628864304
1.11082208E8	34.82667239035558
1.11850943E8	46.04108698055897
1.12235708E8	38.69559748427673
1.126200755E8	11.607470635726749
1.13388413E8	13.049495599914145
1.14157148E8	13.886166234137901
1.147696095E8	13.280925846361587
1.15153977E8	11.910832610775339
1.15694618E8	10.628675681476711
1.16463353E8	11.784422460275648
1.17232088E8	14.040530221727904
1.17668795E8	27.726353900973454
1.180531625E8	31.97499608466756
1.18769558E8	35.54564446785954
1.19538293E8	34.36579445452594
1.2014897E8	30.88064133410219
1.205333375E8	22.322723304103558
1.21075763E8	19.765771039434917
1.21844498E8	22.24981040280461
1.225916085E8	20.331572215039298
1.22975976E8	25.297093574417907
1.23381968E8	27.272286288512948
1.24150703E8	27.106217357086642
1.24919438E8	19.43155573767293
1.253769895E8	16.97386040664626
1.25761357E8	15.125303880186449
1.26456908E8	15.598554768548329
1.27225643E8	17.07131976558892
1.277254535E8	13.751518065192347
1.28109821E8	16.70951140561756
1.28763113E8	17.796038947101408
1.29531848E8	19.981706309716614
1.300272615E8	13.73091331520271
1.30411629E8	15.654064901590251
1.31069318E8	16.336383799358686
1.31838053E8	18.30203125914652
