#Read position (bp)	Clipping profile
0.0	8.382089676999222
1.0	1.7408728014421937
2.0	1.681641898740678
3.0	1.6085020530860084
4.0	1.5231251172101268
5.0	1.421824676370073
6.0	1.37107527556882
7.0	1.314000124784081
8.0	1.2576441896937745
9.0	1.1990355333330716
10.0	1.1375462238615988
11.0	1.0957439042024153
12.0	1.0520085146925833
13.0	1.0095987941636617
14.0	0.9673691144541631
15.0	0.9250399385023518
16.0	0.891676163635639
17.0	0.8579204051603223
18.0	0.8256507730979634
19.0	0.7965302760700756
20.0	0.7680310777997411
21.0	0.7438219048090643
22.0	0.7201616983870848
23.0	0.6975090888317013
24.0	0.6762225784763266
25.0	0.6554025949460186
26.0	0.6371022353043743
27.0	0.6194389674746184
28.0	0.6026187328852841
29.0	0.5868705308242343
30.0	0.8387081545613542
31.0	0.8133587230476642
32.0	0.7880411935037317
33.0	0.7576455652688069
34.0	0.7335671587680269
35.0	0.8025720669366119
36.0	0.784493441777836
37.0	0.7670304298770526
38.0	0.7403404839113771
39.0	0.7233222044206775
40.0	0.7405615866720722
41.0	0.7260392414885332
42.0	0.7050297413062008
43.0	0.6955267446515266
44.0	0.6892366869708385
45.0	0.6960829760252181
46.0	0.685145970036893
47.0	0.6827523747218255
48.0	0.6715598371143543
49.0	0.6690604283352398
50.0	0.6696514044284692
51.0	0.663685104361656
52.0	0.6550507256954267
53.0	0.6518077799182035
54.0	0.6433477565718365
55.0	0.6444232635720747
56.0	0.639209660474885
57.0	0.6342939143824601
58.0	0.6263749610776227
59.0	0.6247580681747683
60.0	0.6227270813872408
61.0	0.6173429133032291
62.0	0.6100326243124766
63.0	0.6032949914719244
64.0	0.5982453202787357
65.0	0.5991177286002211
66.0	0.5956353601192738
67.0	0.5955102791289376
68.0	0.5944568824047689
69.0	0.5948971927596388
70.0	0.5954474227726829
71.0	0.5978508097814383
72.0	0.5983602937142971
73.0	0.5979995803532774
74.0	0.600165439824829
75.0	0.601328440346085
76.0	0.6012987494039346
77.0	0.6033922766866302
78.0	0.6038493276790956
79.0	0.6044624140483943
80.0	0.605515810772563
81.0	0.6064956118635288
82.0	0.60715355050714
83.0	0.6078831896174338
84.0	0.6079754210547523
85.0	0.6092840335369805
86.0	0.6097578251670412
87.0	0.6102913145424899
88.0	0.6110923382583794
89.0	0.6120080195487437
90.0	0.6131328008785082
91.0	0.6143352840356028
92.0	0.6152241171335969
93.0	0.6168586982573069
94.0	0.6182961820629116
95.0	0.6202447291068085
96.0	0.6223603666655737
97.0	0.6247154269280628
98.0	0.6274160392194098
99.0	0.6302622634717289
100.0	0.6336419770994963
101.0	0.6368274361589389
102.0	0.6400833322407172
103.0	0.6438111247860361
104.0	0.6483178307711751
105.0	0.6534114066554161
106.0	0.6589677190316832
107.0	0.665079946920555
108.0	0.6707913470903955
109.0	0.6779730806188582
110.0	0.6858323361783079
111.0	0.6934948102807389
112.0	0.7008180495760463
113.0	0.7076267511611077
114.0	0.7157791258090217
115.0	0.723946345928011
116.0	0.7305443681682386
117.0	0.7353716731563854
118.0	0.7390618782323862
119.0	0.744647565689717
120.0	0.745645686723712
121.0	0.7318172883476688
122.0	0.6934704889770624
123.0	0.6031591712046402
124.0	0.2654085953274966
