#Insert size (bp)	insert size
357.0	26696.0
358.0	27134.0
359.0	26816.0
360.0	26843.0
361.0	26968.0
362.0	26625.0
363.0	26815.0
364.0	26621.0
365.0	26980.0
366.0	26933.0
367.0	26662.0
368.0	26778.0
369.0	26735.0
370.0	26129.0
371.0	26745.0
372.0	26915.0
373.0	26895.0
374.0	26764.0
375.0	26740.0
376.0	26783.0
377.0	27024.0
378.0	26770.0
379.0	26979.0
380.0	26682.0
381.0	26697.0
382.0	26955.0
383.0	26779.0
384.0	26831.0
385.0	27199.0
386.0	26981.0
387.0	27091.0
388.0	26957.0
389.0	27033.0
390.0	27309.0
391.0	27264.0
392.0	27315.0
393.0	27495.0
394.0	27523.0
395.0	27395.0
396.0	27621.0
397.0	27539.0
398.0	28074.0
399.0	28044.0
400.0	27703.0
401.0	28046.0
402.0	28260.0
403.0	28433.0
404.0	28374.0
405.0	28854.0
406.0	28912.0
407.0	29157.0
408.0	29170.0
409.0	29066.0
410.0	29574.0
411.0	29670.0
412.0	30188.0
413.0	30454.0
414.0	30439.0
415.0	30777.0
416.0	31171.0
417.0	31167.0
418.0	31554.0
419.0	32088.0
420.0	31995.0
421.0	32472.0
422.0	32628.0
423.0	32983.0
424.0	33120.0
425.0	33588.0
426.0	33971.0
427.0	34231.0
428.0	34578.0
429.0	34965.0
430.0	35336.0
431.0	35553.0
432.0	35743.0
433.0	36410.0
434.0	36709.0
435.0	37039.0
436.0	37695.0
437.0	37765.0
438.0	38515.0
439.0	38642.0
440.0	39495.0
441.0	39818.0
442.0	40077.0
443.0	40282.0
444.0	40740.0
445.0	41593.0
446.0	41718.0
447.0	42047.0
448.0	42568.0
449.0	43025.0
450.0	43577.0
451.0	43856.0
452.0	44585.0
453.0	44560.0
454.0	45099.0
455.0	45304.0
456.0	45810.0
457.0	46445.0
458.0	46414.0
459.0	46898.0
460.0	47912.0
461.0	47820.0
462.0	48602.0
463.0	48558.0
464.0	49001.0
465.0	49407.0
466.0	49857.0
467.0	49911.0
468.0	50525.0
469.0	50415.0
470.0	50728.0
471.0	51390.0
472.0	51667.0
473.0	51793.0
474.0	52701.0
475.0	52586.0
476.0	53288.0
477.0	52780.0
478.0	53301.0
479.0	53694.0
480.0	54074.0
481.0	54884.0
482.0	54726.0
483.0	54794.0
484.0	55090.0
485.0	55963.0
486.0	55891.0
487.0	56301.0
488.0	56888.0
489.0	56839.0
490.0	57328.0
491.0	58037.0
492.0	57940.0
493.0	58327.0
494.0	58494.0
495.0	58814.0
496.0	59262.0
497.0	59120.0
498.0	59333.0
499.0	59928.0
500.0	60293.0
501.0	60289.0
502.0	60344.0
503.0	61165.0
504.0	61186.0
505.0	61386.0
506.0	61690.0
507.0	61692.0
508.0	62114.0
509.0	62191.0
510.0	62414.0
511.0	62349.0
512.0	62680.0
513.0	63118.0
514.0	63041.0
515.0	63580.0
516.0	63658.0
517.0	63231.0
518.0	63673.0
519.0	64273.0
520.0	63432.0
521.0	63729.0
522.0	63565.0
523.0	64126.0
524.0	63983.0
525.0	64111.0
526.0	64366.0
527.0	64158.0
528.0	64400.0
529.0	63803.0
530.0	63949.0
531.0	63892.0
532.0	63876.0
533.0	63703.0
534.0	63925.0
535.0	64206.0
536.0	63616.0
537.0	63188.0
538.0	63097.0
539.0	63382.0
540.0	62506.0
541.0	62532.0
542.0	62092.0
543.0	61920.0
544.0	61730.0
545.0	61338.0
546.0	61543.0
547.0	61001.0
548.0	60908.0
549.0	60334.0
550.0	59789.0
551.0	59814.0
552.0	59285.0
553.0	58784.0
554.0	58041.0
555.0	58240.0
556.0	57732.0
557.0	57385.0
558.0	56703.0
559.0	55771.0
560.0	55621.0
561.0	54776.0
562.0	53984.0
563.0	52953.0
564.0	51738.0
565.0	51682.0
566.0	50066.0
567.0	49226.0
568.0	48772.0
569.0	47464.0
570.0	46914.0
571.0	46665.0
572.0	45743.0
573.0	45337.0
574.0	44352.0
575.0	43750.0
576.0	42507.0
577.0	41940.0
578.0	41486.0
579.0	40407.0
580.0	39460.0
581.0	38757.0
582.0	37710.0
583.0	36850.0
584.0	36162.0
585.0	35689.0
586.0	34594.0
587.0	33717.0
588.0	32742.0
589.0	31759.0
590.0	30994.0
591.0	30394.0
592.0	29486.0
593.0	28467.0
594.0	28179.0
595.0	27068.0
596.0	26104.0
597.0	25291.0
598.0	24743.0
599.0	23297.0
600.0	22748.0
601.0	22625.0
602.0	22007.0
603.0	20854.0
604.0	20332.0
605.0	19515.0
606.0	18652.0
607.0	18228.0
608.0	17277.0
609.0	17114.0
610.0	16010.0
611.0	15653.0
612.0	14791.0
613.0	14261.0
614.0	14102.0
615.0	13379.0
616.0	12846.0
617.0	12405.0
618.0	11761.0
619.0	11164.0
620.0	10852.0
621.0	10610.0
622.0	9836.0
623.0	9594.0
624.0	8934.0
625.0	8654.0
626.0	8219.0
627.0	7972.0
628.0	7664.0
629.0	7331.0
630.0	7079.0
631.0	6687.0
632.0	6292.0
633.0	6001.0
634.0	5799.0
635.0	5511.0
636.0	5375.0
637.0	5146.0
638.0	5032.0
639.0	4615.0
640.0	4628.0
641.0	4397.0
642.0	4319.0
643.0	4058.0
644.0	3858.0
645.0	3727.0
646.0	3754.0
647.0	3440.0
648.0	3451.0
649.0	3246.0
650.0	3233.0
651.0	2935.0
652.0	3031.0
653.0	2953.0
654.0	2906.0
655.0	2832.0
656.0	2822.0
657.0	2664.0
658.0	2676.0
659.0	2562.0
660.0	2589.0
661.0	2477.0
662.0	2504.0
663.0	2446.0
664.0	2390.0
665.0	2353.0
666.0	2333.0
667.0	2309.0
668.0	2315.0
669.0	2248.0
670.0	2179.0
671.0	2253.0
672.0	2102.0
673.0	2028.0
674.0	2116.0
675.0	1977.0
676.0	1880.0
677.0	1855.0
678.0	1839.0
679.0	1778.0
680.0	1854.0
681.0	1721.0
682.0	1686.0
683.0	1802.0
684.0	1715.0
685.0	1680.0
686.0	1758.0
687.0	1664.0
688.0	1630.0
689.0	1620.0
690.0	1567.0
691.0	1612.0
692.0	1590.0
693.0	1585.0
694.0	1583.0
695.0	1549.0
696.0	1494.0
697.0	1477.0
698.0	1554.0
699.0	1519.0
700.0	1500.0
701.0	1465.0
702.0	1474.0
703.0	1438.0
704.0	1420.0
705.0	1441.0
706.0	1438.0
707.0	1415.0
708.0	1446.0
709.0	1389.0
710.0	1469.0
711.0	1441.0
712.0	1305.0
713.0	1392.0
714.0	1412.0
715.0	1275.0
716.0	1384.0
717.0	1337.0
718.0	1377.0
719.0	1271.0
720.0	1315.0
721.0	1285.0
722.0	1290.0
723.0	1274.0
724.0	1241.0
725.0	1279.0
726.0	1328.0
727.0	1235.0
728.0	1237.0
729.0	1219.0
730.0	1245.0
731.0	1254.0
732.0	1213.0
733.0	1216.0
734.0	1215.0
735.0	1199.0
736.0	1193.0
737.0	1281.0
738.0	1167.0
739.0	1221.0
740.0	1163.0
741.0	1155.0
742.0	1145.0
743.0	1157.0
744.0	1148.0
745.0	1103.0
746.0	1138.0
747.0	1109.0
748.0	1140.0
749.0	1110.0
750.0	1102.0
751.0	1132.0
752.0	1119.0
753.0	1042.0
754.0	1119.0
755.0	1108.0
756.0	1109.0
757.0	1035.0
758.0	1059.0
759.0	975.0
760.0	1034.0
761.0	998.0
762.0	993.0
763.0	873.0
764.0	989.0
765.0	983.0
766.0	911.0
767.0	909.0
768.0	913.0
769.0	923.0
770.0	961.0
771.0	919.0
772.0	940.0
773.0	905.0
774.0	914.0
775.0	927.0
776.0	926.0
777.0	914.0
778.0	881.0
779.0	884.0
780.0	921.0
781.0	883.0
782.0	881.0
783.0	890.0
784.0	833.0
785.0	848.0
786.0	823.0
787.0	832.0
788.0	798.0
789.0	804.0
790.0	830.0
791.0	791.0
792.0	826.0
793.0	836.0
794.0	809.0
795.0	878.0
796.0	793.0
797.0	830.0
798.0	822.0
799.0	829.0
800.0	744.0
801.0	830.0
802.0	879.0
803.0	793.0
804.0	824.0
805.0	793.0
806.0	742.0
807.0	808.0
808.0	766.0
809.0	759.0
810.0	725.0
811.0	762.0
812.0	796.0
813.0	794.0
814.0	743.0
815.0	796.0
816.0	783.0
817.0	743.0
818.0	777.0
819.0	791.0
820.0	720.0
821.0	755.0
822.0	757.0
823.0	836.0
824.0	760.0
825.0	770.0
826.0	751.0
827.0	725.0
828.0	744.0
829.0	679.0
830.0	757.0
831.0	767.0
832.0	757.0
833.0	737.0
834.0	745.0
835.0	712.0
836.0	700.0
837.0	692.0
838.0	703.0
839.0	667.0
840.0	684.0
841.0	654.0
842.0	651.0
843.0	652.0
844.0	636.0
845.0	659.0
846.0	621.0
847.0	684.0
848.0	653.0
849.0	692.0
850.0	668.0
851.0	619.0
852.0	651.0
853.0	611.0
854.0	701.0
855.0	665.0
856.0	680.0
857.0	658.0
858.0	650.0
859.0	663.0
860.0	639.0
861.0	682.0
862.0	640.0
863.0	606.0
864.0	622.0
865.0	630.0
866.0	651.0
867.0	634.0
868.0	650.0
869.0	651.0
870.0	631.0
871.0	676.0
872.0	631.0
873.0	648.0
874.0	644.0
875.0	618.0
876.0	614.0
877.0	619.0
878.0	574.0
879.0	638.0
880.0	620.0
881.0	642.0
882.0	641.0
883.0	600.0
884.0	589.0
885.0	645.0
886.0	637.0
887.0	644.0
888.0	629.0
889.0	627.0
890.0	591.0
891.0	621.0
892.0	609.0
893.0	626.0
894.0	632.0
895.0	568.0
896.0	545.0
897.0	558.0
898.0	542.0
899.0	522.0
900.0	475.0
901.0	535.0
902.0	504.0
903.0	539.0
904.0	527.0
905.0	575.0
906.0	506.0
907.0	513.0
908.0	504.0
909.0	525.0
910.0	540.0
911.0	489.0
912.0	526.0
913.0	520.0
914.0	551.0
915.0	557.0
916.0	547.0
917.0	485.0
918.0	493.0
919.0	453.0
920.0	509.0
921.0	479.0
922.0	498.0
923.0	454.0
924.0	491.0
925.0	550.0
926.0	451.0
927.0	463.0
928.0	490.0
929.0	451.0
930.0	485.0
931.0	506.0
932.0	525.0
933.0	474.0
934.0	494.0
935.0	508.0
936.0	485.0
937.0	520.0
938.0	527.0
939.0	478.0
940.0	497.0
941.0	504.0
942.0	505.0
943.0	490.0
944.0	485.0
945.0	449.0
946.0	464.0
947.0	472.0
948.0	463.0
949.0	461.0
950.0	487.0
951.0	477.0
952.0	490.0
953.0	475.0
954.0	466.0
955.0	469.0
956.0	422.0
957.0	439.0
958.0	400.0
959.0	448.0
960.0	406.0
961.0	389.0
962.0	404.0
963.0	412.0
964.0	421.0
965.0	395.0
966.0	409.0
967.0	379.0
968.0	381.0
969.0	411.0
970.0	409.0
971.0	402.0
972.0	397.0
973.0	405.0
974.0	401.0
975.0	408.0
976.0	372.0
977.0	390.0
978.0	400.0
979.0	369.0
980.0	403.0
981.0	427.0
982.0	381.0
983.0	400.0
984.0	392.0
985.0	382.0
986.0	384.0
987.0	385.0
988.0	364.0
989.0	340.0
990.0	389.0
991.0	383.0
992.0	405.0
993.0	381.0
994.0	420.0
995.0	372.0
996.0	357.0
997.0	413.0
998.0	401.0
999.0	340.0
1000.0	370.0
1001.0	355.0
1002.0	386.0
1003.0	362.0
1004.0	357.0
1005.0	359.0
1006.0	411.0
1007.0	328.0
1008.0	328.0
1009.0	348.0
1010.0	345.0
1011.0	334.0
1012.0	307.0
1013.0	318.0
1014.0	314.0
1015.0	296.0
1016.0	318.0
1017.0	292.0
1018.0	319.0
1019.0	310.0
1020.0	293.0
1021.0	312.0
1022.0	290.0
1023.0	330.0
1024.0	297.0
1025.0	323.0
1026.0	309.0
1027.0	318.0
1028.0	351.0
1029.0	293.0
1030.0	328.0
1031.0	296.0
1032.0	308.0
1033.0	344.0
1034.0	315.0
1035.0	318.0
1036.0	290.0
1037.0	330.0
1038.0	334.0
1039.0	302.0
1040.0	309.0
1041.0	319.0
1042.0	311.0
