#Read position (bp)	Clipping profile
0.0	8.456278535059191
1.0	1.772835480493718
2.0	1.710475816798114
3.0	1.6336029098056624
4.0	1.5430900032786488
5.0	1.4375616289537736
6.0	1.3837543601353834
7.0	1.3240569479432205
8.0	1.2656455900732002
9.0	1.2048992648810959
10.0	1.1411617031955297
11.0	1.0981016013480454
12.0	1.0533057027733015
13.0	1.0096736432696065
14.0	0.9665678625608786
15.0	0.923510919358055
16.0	0.8896711442471401
17.0	0.8551707264568555
18.0	0.8223135328080123
19.0	0.7926030781589929
20.0	0.763646081747828
21.0	0.7391930696498229
22.0	0.7150568939085292
23.0	0.6921389831155111
24.0	0.6704818574873518
25.0	0.6496250838216215
26.0	0.6312288943463951
27.0	0.6135791169017037
28.0	0.5966633598815716
29.0	0.5809034238345043
30.0	0.824675470096043
31.0	0.8001855261527772
32.0	0.7707280060492613
33.0	0.745381097512344
34.0	0.7155557167922169
35.0	0.7969335799884932
36.0	0.772399657992647
37.0	0.7545370364923732
38.0	0.7355462929029806
39.0	0.713988786067959
40.0	0.7389935890908811
41.0	0.7177179305486396
42.0	0.7057928320920455
43.0	0.6981617895650233
44.0	0.6817638072965416
45.0	0.6911435241021316
46.0	0.681204970164305
47.0	0.6738885772399986
48.0	0.6637762978458464
49.0	0.6698391947852799
50.0	0.6654285119759369
51.0	0.6598600644121996
52.0	0.6531408983013876
53.0	0.6503821866494688
54.0	0.6387275167703439
55.0	0.6397579638476548
56.0	0.6340422748482065
57.0	0.6317427815353864
58.0	0.6242324964234606
59.0	0.6202496884792779
60.0	0.6175672702445426
61.0	0.6095880478868705
62.0	0.6058295037135808
63.0	0.5968006394379688
64.0	0.5921948495776754
65.0	0.5909029639115444
66.0	0.5873577497391694
67.0	0.5891314502023548
68.0	0.5870895079156959
69.0	0.5886231513846858
70.0	0.5887380774557935
71.0	0.5890758094617974
72.0	0.5900102823359632
73.0	0.5909829019187209
74.0	0.5918456978563608
75.0	0.5941400887431908
76.0	0.5940246767267507
77.0	0.5959079578623876
78.0	0.5965581527171114
79.0	0.5981573988059725
80.0	0.5989618813037269
81.0	0.5996288412724179
82.0	0.6003932332802508
83.0	0.6014285398108855
84.0	0.6019025794826217
85.0	0.6033453511744566
86.0	0.6043770131150984
87.0	0.6050442160564555
88.0	0.6055000327782275
89.0	0.6066769923732508
90.0	0.6079538137340781
91.0	0.6096145319074852
92.0	0.6106721919234093
93.0	0.6123329100968163
94.0	0.6142016128724819
95.0	0.6167251269835289
96.0	0.6189621763211381
97.0	0.6215440038720708
98.0	0.6245352403655331
99.0	0.6279796208814392
100.0	0.6318776313651219
101.0	0.6352875097624291
102.0	0.6388696557800649
103.0	0.6430876612651195
104.0	0.6479191727323032
105.0	0.653671550604346
106.0	0.6600784968391042
107.0	0.6669283822443264
108.0	0.6737051328770253
109.0	0.6820862320245754
110.0	0.6909804894431183
111.0	0.6994636371104681
112.0	0.7079312345271818
113.0	0.7162591226608362
114.0	0.7261879576920152
115.0	0.7365636194563171
116.0	0.7452289966233092
117.0	0.7524003348659004
118.0	0.7589800346663196
119.0	0.7683755446952119
120.0	0.7734072656393359
121.0	0.7623780074029836
122.0	0.7256937512889852
123.0	0.6340903834361121
124.0	0.27566682517960434
