#Position (bp)	Coverage
384368.0	30.589725978393073
1153103.0	30.61393848335252
1921838.0	32.57797030185955
2690573.0	35.86036670634224
3459308.0	31.327513382374942
4228043.0	32.79010712404145
4996778.0	32.3816946021711
5765513.0	34.47799436736977
6534248.0	32.493203769829655
7302983.0	29.263466604226423
8071718.0	26.76168640688924
8840453.0	22.701680032781127
9609188.0	26.44160601507672
1.0377923E7	21.06246235698908
1.0801324E7	24.910423098108037
1.11856915E7	28.40671060480578
1.1915393E7	27.782361932265346
1.2684128E7	33.77420957807307
1.3452863E7	34.923852823144514
1.4221598E7	32.09118877116301
1.4990333E7	34.54831248739813
1.5759068E7	36.652492731565495
1.6527803E7	34.94413939784191
1.7296538E7	31.270956831678017
1.8065273E7	14.421316838702543
1.8834008E7	21.79631602567855
1.9602743E7	23.401910931595413
2.018777E7	18.085822001948575
2.05721375E7	12.388418032965358
2.1140213E7	13.962552765257207
2.1908948E7	19.108828139736058
2.2677683E7	29.63650152523301
2.3446418E7	34.52048105003675
2.4215153E7	32.56300675785544
2.4983888E7	37.820035512888055
2.5752623E7	37.22254483014303
2.6521358E7	35.243796626926056
2.7290093E7	28.73301202625092
2.8058828E7	22.891759839216373
2.86485735E7	25.605503023692897
2.9032941E7	28.512988192044784
2.9596298E7	34.312983017554814
3.0365033E7	36.710592076593365
3.1133768E7	35.809591081452
3.1902503E7	33.35620077139716
3.2671238E7	32.101898573630706
3.3439973E7	34.599919348019796
3.4208708E7	37.36571770506091
3.4977443E7	29.276727350777577
3.5659712E7	25.057132978518066
3.60440795E7	24.256586403904425
3.6514913E7	29.58936954867412
3.7283648E7	33.02696377815502
3.8052383E7	35.138302535984444
3.8821118E7	36.481390856406954
3.9589853E7	39.20820048521272
4.0358588E7	33.866882605839464
4.1127323E7	34.44972714914763
4.1896058E7	37.22109699701458
4.2664793E7	36.421694081835746
4.3049519E7	181.05020920502093
4.34338865E7	23.49530349549099
4.4202263E7	18.135157108756594
4.4970998E7	15.165642256434271
4.5739733E7	52.42458844725426
4.6508468E7	21.0629176504257
4.7277203E7	16.666305033594153
4.8045938E7	21.287476178396975
4.8668911E7	13.004884631745705
4.90532785E7	31.88023970582182
4.9583408E7	30.971946119273873
5.0352143E7	34.102926235959075
5.1120878E7	36.76119468997769
5.1889613E7	32.57009632708281
5.2658348E7	34.47673645664631
5.3427083E7	36.61297846462045
5.38687855E7	35.7202406906776
5.4253153E7	26.94203022635365
5.4964553E7	24.51726537753582
5.5733288E7	25.143697112789194
5.6502023E7	30.570296656194916
5.7270758E7	30.66618275478546
5.8039493E7	31.833963589533454
5.85039505E7	30.76738668997378
5.8888318E7	15.255528259565693
5.9576963E7	16.307406323375414
6.0345698E7	15.769133706673951
6.1114433E7	19.054082356078492
6.1883168E7	17.268761016475118
6.2651903E7	19.661987550976605
6.3087631E7	16.849018214386543
6.34719985E7	10.308750266510915
6.4189373E7	20.143746544648025
6.4958108E7	17.87768997118643
6.5726843E7	19.96141713334244
6.6495578E7	17.999189577682817
6.7140034E7	13.620221578424268
6.75244015E7	34.22143322685248
6.8033048E7	27.51042166676423
6.8801783E7	27.08908011213227
6.9570518E7	24.466044865916082
7.0339253E7	24.18982614294913
7.11040115E7	20.020227870796102
7.1488379E7	28.49025524959135
7.1876723E7	27.361440548433464
7.2645458E7	34.41769790630061
7.3414193E7	38.41250235776958
7.4182928E7	35.29180406772165
7.4951663E7	33.036320708696756
7.5358208E7	25.5033479878255
7.57425755E7	25.043346033849637
7.6489133E7	31.355140588109037
7.7257868E7	27.09364085152881
7.8026603E7	25.934410427520536
7.8795338E7	27.02600375942295
7.92080895E7	24.851007609921083
7.9592457E7	29.52776884321886
8.0332808E7	20.5884290425179
8.1101543E7	26.308765699493325
