#GC Content (%)	Sample
1.0	1.1235693551273688E-6
2.0	1.1235693551273688E-6
3.0	9.630594472520303E-7
4.0	6.420396315013535E-7
5.0	2.407648618130076E-6
6.0	1.9261188945040606E-6
7.0	1.4445891708780454E-6
8.0	2.407648618130076E-6
9.0	7.0624359465148885E-6
10.0	6.741416130764212E-6
11.0	1.4445891708780455E-5
12.0	2.584209516792948E-5
13.0	4.9597561533479566E-5
14.0	7.929189449041716E-5
15.0	1.4590350625868256E-4
16.0	2.531241247194086E-4
17.0	4.040034381222267E-4
18.0	6.587326619203887E-4
19.0	0.001018916895192648
20.0	0.0014975574404769072
21.0	0.0021495486862665317
22.0	0.0029333185664218086
23.0	0.003921899089026018
24.0	0.005079496544622957
25.0	0.0070808945859205516
26.0	0.007087475492143442
27.0	0.009420005473387859
28.0	0.011186577519463834
29.0	0.013166627743014006
30.0	0.01540734605695373
31.0	0.01804211619472741
32.0	0.020724878794955815
33.0	0.02383154806188299
34.0	0.02734157872730089
35.0	0.030951767575233005
36.0	0.03482711879097517
37.0	0.03916425701167468
38.0	0.043734776638424955
39.0	0.04791670177820901
40.0	0.05171500823817103
41.0	0.054141757535338265
42.0	0.05466309371611737
43.0	0.05424496540610211
44.0	0.053045956394273334
45.0	0.05078806352019094
46.0	0.04815136726352276
47.0	0.04427441094870184
48.0	0.040246414810570216
49.0	0.03546963995220015
50.0	0.030973275902888293
51.0	0.028921959280241473
52.0	0.01964464711495479
53.0	0.01750826024113403
54.0	0.013741253213207719
55.0	0.010323676254726013
56.0	0.007574141532821467
57.0	0.0054295686536990715
58.0	0.0037735879341492047
59.0	0.0025752209619519287
60.0	0.0016546966402868632
61.0	0.001112333661576095
62.0	7.062435946514888E-4
63.0	4.3915510794692586E-4
64.0	2.6243369937617824E-4
65.0	1.7158509151873674E-4
66.0	1.1203591569698618E-4
67.0	7.351353780690498E-5
68.0	3.93249274294579E-5
69.0	2.8570763601810227E-5
70.0	1.5087931340281807E-5
71.0	8.988554841018949E-6
72.0	5.93886659138752E-6
73.0	2.7286684338807525E-6
74.0	2.0866288023793993E-6
75.0	5.296826959886167E-6
76.0	4.815297236260152E-7
77.0	3.2101981575067677E-7
78.0	4.815297236260152E-7
79.0	3.2101981575067677E-7
80.0	4.815297236260152E-7
81.0	0.0
82.0	3.2101981575067677E-7
83.0	0.0
84.0	1.6050990787533839E-7
85.0	0.0
86.0	4.815297236260152E-7
87.0	0.0
88.0	3.2101981575067677E-7
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	1.6050990787533839E-7
98.0	0.0
99.0	0.0
100.0	8.988554841018949E-6
