#Position (bp)	insert size
384368.0	1396.762869539962
1153103.0	957.4786380998154
1921838.0	622.2571132872835
2690573.0	544.4618275930158
3459308.0	515.6940839647958
4228043.0	457.87588434925095
4996778.0	435.50889361139
5765513.0	352.0014865478405
6534248.0	427.5265871911433
7302983.0	381.24567594347
8071718.0	368.97122490353803
8840453.0	363.947043100568
9609188.0	336.62913468010186
1.0377923E7	353.9949805011777
1.0801324E7	330.97221358216694
1.11856915E7	454.3233803492708
1.1915393E7	594.6047084041016
1.2684128E7	476.3241414575583
1.3452863E7	485.6354877414132
1.4221598E7	425.3924008914278
1.4990333E7	560.7726204637911
1.5759068E7	442.6438492877259
1.6527803E7	350.40976554565765
1.7296538E7	414.94548901363794
1.8065273E7	392.6716047389348
1.8834008E7	382.9024126930215
1.9602743E7	394.308877366008
2.018777E7	336.5840931246058
2.05721375E7	2565.4835318850737
2.1140213E7	1745.3140260750322
2.1908948E7	1227.7321121842706
2.2677683E7	470.88773613598727
2.3446418E7	686.6943097469302
2.4215153E7	464.5460083163273
2.4983888E7	374.0173098088917
2.5752623E7	426.64516520812106
2.6521358E7	346.75391489361704
2.7290093E7	352.6350484025389
2.8058828E7	333.0488912231559
2.86485735E7	334.10307824717535
2.9032941E7	621.0892033562392
2.9596298E7	535.6586812981084
3.0365033E7	467.8554228439316
3.1133768E7	335.2491451695913
3.1902503E7	400.4669364300972
3.2671238E7	382.8396457316786
3.3439973E7	360.2053591071088
3.4208708E7	355.6462504531743
3.4977443E7	336.08538126667605
3.5659712E7	336.3631241343141
3.60440795E7	474.7718114515978
3.6514913E7	563.4567738602609
3.7283648E7	543.0188961977069
3.8052383E7	498.94278209963574
3.8821118E7	376.09951135624857
3.9589853E7	392.24820132483916
4.0358588E7	387.5694125221792
4.1127323E7	347.4769210480042
4.1896058E7	352.0796298159139
4.2664793E7	334.0724748941821
4.3049519E7	140.39009287925697
4.34338865E7	1017.9854105736783
4.4202263E7	2080.9989417340225
4.4970998E7	1232.0413282595937
4.5739733E7	1038.4382847382458
4.6508468E7	2353.684524176733
4.7277203E7	689.7760267355117
4.8045938E7	397.3736642994624
4.8668911E7	313.71952227456813
4.90532785E7	416.86652159721467
4.9583408E7	420.6291365940584
5.0352143E7	365.03586724159317
5.1120878E7	347.12019339419135
5.1889613E7	367.27878021534735
5.2658348E7	361.18751144881554
5.3427083E7	338.08747899976396
5.38687855E7	334.42507960292187
5.4253153E7	2283.4081810640064
5.4964553E7	2903.6379008064832
5.5733288E7	1220.2333588370313
5.6502023E7	678.7036098900201
5.7270758E7	525.9326497836217
5.8039493E7	341.6218851975477
5.85039505E7	329.2729458296173
5.8888318E7	1094.691457868543
5.9576963E7	670.3088858257128
6.0345698E7	990.1209110819098
6.1114433E7	333.13567621635343
6.1883168E7	400.66911669051643
6.2651903E7	375.18417110414543
6.3087631E7	328.1977476386534
6.34719985E7	984.6572646441773
6.4189373E7	633.0292395154839
6.4958108E7	637.8857327010727
6.5726843E7	423.4635570911484
6.6495578E7	351.43561117936116
6.7140034E7	337.9307529952201
6.75244015E7	424.8200372336758
6.8033048E7	448.07057805685133
6.8801783E7	383.9489843328935
6.9570518E7	371.6779065171718
