#Read position (bp)	Clipping profile
0.0	8.255000591711942
1.0	1.784389090993819
2.0	1.7220398781317443
3.0	1.6447908122918278
4.0	1.5544822995187428
5.0	1.4481306512249121
6.0	1.3943029895835504
7.0	1.334287681356706
8.0	1.2754580234886868
9.0	1.2141980525879836
10.0	1.1501595311472002
11.0	1.1069934277552422
12.0	1.061590908937139
13.0	1.0175400531443293
14.0	0.9739535140280478
15.0	0.9302009622452978
16.0	0.8956597356659428
17.0	0.8609401751675301
18.0	0.8275508776241238
19.0	0.7973506228781195
20.0	0.7677634044890209
21.0	0.7430934466947368
22.0	0.7186895847239191
23.0	0.6954618619695768
24.0	0.6735994204670743
25.0	0.6525011127874427
26.0	0.6340218278512071
27.0	0.6160096697017392
28.0	0.5988280072092643
29.0	0.5828049747848484
30.0	0.8214187847564567
31.0	0.8017423928581109
32.0	0.7616016973826739
33.0	0.7389444270069899
34.0	0.7154501761045289
35.0	0.7875247481815361
36.0	0.7657020805470415
37.0	0.7489771690496801
38.0	0.7195708785275527
39.0	0.7070838294339779
40.0	0.7292800255680257
41.0	0.7125283099422243
42.0	0.7026808190130278
43.0	0.6904034473757994
44.0	0.6757357527362211
45.0	0.6844252620843371
46.0	0.6756860354012111
47.0	0.6734178441131248
48.0	0.6616130033208175
49.0	0.6597823245808192
50.0	0.6631069011567048
51.0	0.6543825896740818
52.0	0.6470252887419075
53.0	0.6414115531323009
54.0	0.6373461882647665
55.0	0.6386005782433012
56.0	0.6324434105458029
57.0	0.6285259007093417
58.0	0.622477462661887
59.0	0.6189691481087906
60.0	0.6171447380762499
61.0	0.612163493432901
62.0	0.6061518029808884
63.0	0.5997436708227527
64.0	0.5950053926339743
65.0	0.594441208962774
66.0	0.5924976934885355
67.0	0.5927218538207327
68.0	0.5923152524852815
69.0	0.5919069218512212
70.0	0.5933083022115246
71.0	0.5932518838444045
72.0	0.5939535467550239
73.0	0.5956203744518153
74.0	0.5967327457820824
75.0	0.5978675979942669
76.0	0.5988109303855
77.0	0.599972802888451
78.0	0.6002914261571671
79.0	0.6015406282398746
80.0	0.6027433554224643
81.0	0.6037320819021847
82.0	0.6043453344214167
83.0	0.6049830132835013
84.0	0.6056399305926117
85.0	0.6066660531547526
86.0	0.607367932227698
87.0	0.6082902968732965
88.0	0.6084599842993088
89.0	0.6095286908396975
90.0	0.6108459840551362
91.0	0.6124790904290514
92.0	0.6133547640122057
93.0	0.615026347280172
94.0	0.6167398660394077
95.0	0.6189075418458433
96.0	0.6212057796972618
97.0	0.6238090225908501
98.0	0.6269747198570299
99.0	0.6300993462812449
100.0	0.6339457387124092
101.0	0.6373429458298745
102.0	0.6409065979384603
103.0	0.6450541044899243
104.0	0.649877334472872
105.0	0.6556689716768838
106.0	0.6621361161500531
107.0	0.6688924858155849
108.0	0.6753583333147974
109.0	0.6834689599535362
110.0	0.6923932215878298
111.0	0.7010111812059966
112.0	0.7095057121359428
113.0	0.7175584072712787
114.0	0.7273944415971902
115.0	0.7375923316570442
116.0	0.7460827555027941
117.0	0.7531819586175686
118.0	0.7594472074781322
119.0	0.7685513161677663
120.0	0.7728505686721738
121.0	0.761618558044112
122.0	0.7246952226308
123.0	0.6327974844360045
124.0	0.2763754228856541
