#Coverage (X)	Coverage
1.0	90.65985274143789
2.0	87.08619052476288
3.0	83.93300730728471
4.0	81.0871118765682
5.0	78.3851406321691
6.0	75.80423425399732
7.0	73.30901349615677
8.0	70.89711636007272
9.0	68.54639020648983
10.0	66.2565368180471
11.0	64.03037803993696
12.0	61.87765032752608
13.0	59.79501507729415
14.0	57.78461574684904
15.0	55.84430952900243
16.0	53.96492453255201
17.0	52.148700151988415
18.0	50.38388363135801
19.0	48.674289356077665
20.0	47.01455624305444
21.0	45.397668867084775
22.0	43.820413505200854
23.0	42.27556594752543
24.0	40.76303090759528
25.0	39.27520855824639
26.0	37.81183060141679
27.0	36.365984703400656
28.0	34.93655246779177
29.0	33.51899526701082
30.0	32.112209013881554
31.0	30.715344260479256
32.0	29.328240678386294
33.0	27.947942110774363
34.0	26.57472596157905
35.0	25.209660219691898
36.0	23.85393742934717
37.0	22.511184655133007
38.0	21.185126524569185
39.0	19.878508133341924
40.0	18.59545866992748
41.0	17.341085228586778
42.0	16.123475125932202
43.0	14.947556590850027
44.0	13.817117666765583
45.0	12.735040037469375
46.0	11.706241850344739
47.0	10.733654221067553
48.0	9.82257026388838
49.0	8.9727955033635
50.0	8.183500004154553
51.0	7.457341380519054
