#GC Content (%)	Sample
1.0	1.292176645716176E-6
2.0	1.1486014628588231E-6
3.0	7.178759142867645E-7
4.0	8.614510971441173E-7
5.0	1.292176645716176E-6
6.0	2.010052560002941E-6
7.0	1.579327011430882E-6
8.0	1.1486014628588231E-6
9.0	6.604458411438232E-6
10.0	8.901661337155879E-6
11.0	1.6223995662880875E-5
12.0	2.656140882861028E-5
13.0	6.087587753151763E-5
14.0	9.289314330870733E-5
15.0	1.7458742235454113E-4
16.0	2.8729394089756314E-4
17.0	4.7351095306354975E-4
18.0	7.467345260410924E-4
19.0	0.0011029445547101847
20.0	0.0016255582203109496
21.0	0.002267770013231889
22.0	0.0031119920884331237
23.0	0.004103953026794575
24.0	0.005222116550887639
25.0	0.0072944807402506705
26.0	0.007239922170764876
27.0	0.009612358492299777
28.0	0.011358950591759474
29.0	0.013406476274488183
30.0	0.015799874572720255
31.0	0.018263911860918147
32.0	0.021023714025802182
33.0	0.024105842476200977
34.0	0.02756586080788032
35.0	0.03082272025581652
36.0	0.03487556051751387
37.0	0.03920334725438306
38.0	0.04335669014408057
39.0	0.047224605570257656
40.0	0.05082389182930864
41.0	0.053097692000220534
42.0	0.05353487843202116
43.0	0.05356115269048407
44.0	0.05262346317124269
45.0	0.050545930275296795
46.0	0.04791132566986437
47.0	0.04483379162531701
48.0	0.04051189147094498
49.0	0.0358201416455324
50.0	0.031122218087256955
51.0	0.02890915021869372
52.0	0.019645535845554455
53.0	0.017857737668614697
54.0	0.013933971496306097
55.0	0.010462179999632447
56.0	0.007687446015731247
57.0	0.005482274782225163
58.0	0.0038423590436284776
59.0	0.0025813382125923472
60.0	0.0016936128569853346
61.0	0.0010946171941044584
62.0	7.26634000441063E-4
63.0	4.3761715734921163E-4
64.0	2.7753082846326317E-4
65.0	1.758795990002573E-4
66.0	1.1227579299444995E-4
67.0	7.508982063439557E-5
68.0	4.005747601720146E-5
69.0	2.6274258462895576E-5
70.0	1.9239074502885286E-5
71.0	1.0911713897158819E-5
72.0	8.327360605726469E-6
73.0	4.5944058514352925E-6
74.0	2.2972029257176463E-6
75.0	3.732954754291175E-6
76.0	7.178759142867645E-7
77.0	7.178759142867645E-7
78.0	2.871503657147058E-7
79.0	0.0
80.0	5.743007314294116E-7
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	1.435751828573529E-7
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	1.435751828573529E-7
97.0	1.435751828573529E-7
98.0	1.435751828573529E-7
99.0	0.0
100.0	7.178759142867645E-6
