Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate
FN1_14084_TAGCTT	41.04824871762499	348	89.1940402642544	76.66455816910931	64.24711246649872	26.27128150390397	3.8278637358696965	16	19.8452	82.8071500158663	61177833.0	73879892.0	2.68
FN2_14085_GGCTAC	41.30370308139286	351	90.02072285449235	77.50265269545973	65.22624494243925	28.347890617059036	5.151046361628681	17	20.6919	88.07942144724706	63892726.0	72539902.0	2.6599999999999997
FN3_14086_CTTGTA	41.60374405411111	318	89.4786300349729	76.34939965544349	63.71779356161726	26.861932370123778	4.838061550079533	16	20.1678	87.78765141842734	61923636.0	70537980.0	2.58
FN4_14087_GTGAAA	41.576123992676536	314	90.65985274143789	78.3851406321691	66.2565368180471	32.11220901388153	8.183500004154554	18	22.5469	88.23302124766764	69302998.0	78545421.0	2.62
FW1_14080_ATCACG	42.44463635039856	307	87.39317749248534	72.31428851248351	57.58627778667498	20.48227861218746	3.7453241948736955	12	17.2726	84.21245343165884	53176715.0	63145904.0	2.53
FW2_14081_ACAGTG	41.08009685606795	419	90.06244043884652	76.79225081049186	63.86319062299249	23.864699271125225	3.1777759056535233	16	19.0559	89.22389648086589	58644310.0	65727134.0	2.5700000000000003
FW3_14082_GCCAAT	41.45998660321231	451	89.18559163958523	75.41148198954949	61.149443857955724	20.68728369789918	2.7409999943576104	14	17.7065	85.76775519683113	54754267.0	63840154.0	2.5700000000000003
FW4_14083_ACTTGA	41.009959150602626	404	88.84396300172978	74.55735397101539	59.52902567949045	13.138283243955119	1.6692728164777677	13	15.7247	75.60243631276145	48473187.0	64115906.0	2.39
