#Read position (bp)	Clipping profile
0.0	8.36086329041442
1.0	1.789037771208827
2.0	1.7265384853123424
3.0	1.6488996134981992
4.0	1.5580486142985395
5.0	1.4508497009801675
6.0	1.3974511986684357
7.0	1.3372824627791506
8.0	1.2781822504772105
9.0	1.2165229750431261
10.0	1.152234615892028
11.0	1.1088230360532918
12.0	1.0632573770057083
13.0	1.019024001518879
14.0	0.9752348782563209
15.0	0.9315720759137632
16.0	0.8969710254110144
17.0	0.8620809034396499
18.0	0.8287492125936848
19.0	0.7982401082972429
20.0	0.768482542507995
21.0	0.7435791064535963
22.0	0.7189614300833934
23.0	0.6955066631564906
24.0	0.6733759003292931
25.0	0.6519716010701133
26.0	0.6333175022152882
27.0	0.6152793952624876
28.0	0.5980687613024993
29.0	0.5818398348668591
30.0	0.8209404980445925
31.0	0.7992182674811418
32.0	0.7667575759375017
33.0	0.7424826692547158
34.0	0.7151772432720686
35.0	0.7918154830794666
36.0	0.7685102195635006
37.0	0.7469663522466424
38.0	0.7275136402346607
39.0	0.7100695254730984
40.0	0.7316924025039645
41.0	0.7126352121740817
42.0	0.6994635358696887
43.0	0.6875254992615548
44.0	0.6802417025429514
45.0	0.6850809292479129
46.0	0.6776428979977732
47.0	0.675296735292596
48.0	0.6656802595625232
49.0	0.6583460764095374
50.0	0.6645376939377998
51.0	0.6544549662726692
52.0	0.6479972232106979
53.0	0.6474301984068755
54.0	0.6370529584844403
55.0	0.6398670290168852
56.0	0.6350275657558936
57.0	0.6309571461483131
58.0	0.6216233548740466
59.0	0.619571231314114
60.0	0.6158414523896807
61.0	0.6123501219434507
62.0	0.6058940347736891
63.0	0.600029337678836
64.0	0.5950086724988926
65.0	0.5953859793666841
66.0	0.5926220587125915
67.0	0.5911350675082415
68.0	0.5911173258059943
69.0	0.591610781684498
70.0	0.5919854864359599
71.0	0.5927294551501949
72.0	0.5934048226157406
73.0	0.5955193969675835
74.0	0.5962747203712567
75.0	0.5971674828283386
76.0	0.5987888378577079
77.0	0.599609450725651
78.0	0.6005405352595871
79.0	0.6016364993464075
80.0	0.6022342764341251
81.0	0.6032774885262637
82.0	0.6038986846609476
83.0	0.6050225623593039
84.0	0.6057885307843254
85.0	0.606813054950097
86.0	0.60737558518935
87.0	0.608383786989054
88.0	0.608655589867482
89.0	0.6099057884858387
90.0	0.611100632993184
91.0	0.6124669806222527
92.0	0.6136580402331184
93.0	0.6153662113254842
94.0	0.6169743192171755
95.0	0.6191205920770336
96.0	0.6210598784106738
97.0	0.6237251552002715
98.0	0.6265247958148885
99.0	0.6295893791830647
100.0	0.6333203408876475
101.0	0.6364504502761236
102.0	0.6397253319549371
103.0	0.643599173501618
104.0	0.6482236073313729
105.0	0.6536819011667487
106.0	0.6595948556917144
107.0	0.6659889651816255
108.0	0.671979746640449
109.0	0.6797139460401029
110.0	0.6880551482126429
111.0	0.6961851058504257
112.0	0.703929477159368
113.0	0.7115475275483099
114.0	0.7203776910347843
115.0	0.7296147308927958
116.0	0.7372791462636105
117.0	0.7430579735195868
118.0	0.7478345128766081
119.0	0.7547249169173825
120.0	0.7570185641839079
121.0	0.7433375827470036
122.0	0.7040645506524771
123.0	0.6112697705546077
124.0	0.2680097024875026
