#Insert size (bp)	insert size
356.0	39024.0
357.0	38642.0
358.0	38754.0
359.0	38967.0
360.0	38642.0
361.0	38721.0
362.0	38524.0
363.0	38995.0
364.0	38914.0
365.0	39210.0
366.0	38688.0
367.0	39094.0
368.0	39299.0
369.0	39130.0
370.0	38956.0
371.0	39280.0
372.0	38664.0
373.0	39136.0
374.0	39232.0
375.0	39591.0
376.0	39543.0
377.0	39458.0
378.0	39694.0
379.0	39918.0
380.0	40256.0
381.0	39850.0
382.0	39863.0
383.0	40802.0
384.0	40287.0
385.0	40690.0
386.0	41257.0
387.0	41180.0
388.0	41250.0
389.0	41605.0
390.0	41676.0
391.0	41797.0
392.0	41961.0
393.0	42424.0
394.0	42932.0
395.0	43209.0
396.0	43092.0
397.0	43245.0
398.0	44018.0
399.0	44004.0
400.0	44581.0
401.0	44732.0
402.0	45029.0
403.0	45129.0
404.0	46143.0
405.0	46121.0
406.0	46150.0
407.0	46719.0
408.0	47421.0
409.0	47619.0
410.0	48219.0
411.0	48547.0
412.0	48446.0
413.0	49367.0
414.0	49927.0
415.0	50071.0
416.0	50636.0
417.0	50654.0
418.0	51765.0
419.0	52086.0
420.0	52441.0
421.0	52966.0
422.0	54087.0
423.0	53772.0
424.0	54612.0
425.0	55019.0
426.0	55876.0
427.0	55884.0
428.0	56353.0
429.0	56848.0
430.0	57077.0
431.0	58079.0
432.0	58302.0
433.0	58570.0
434.0	59138.0
435.0	59267.0
436.0	59708.0
437.0	60423.0
438.0	60303.0
439.0	60738.0
440.0	61280.0
441.0	61361.0
442.0	62101.0
443.0	62720.0
444.0	62589.0
445.0	62968.0
446.0	63802.0
447.0	63240.0
448.0	64250.0
449.0	64227.0
450.0	63947.0
451.0	64791.0
452.0	64860.0
453.0	65279.0
454.0	65240.0
455.0	65438.0
456.0	65819.0
457.0	65854.0
458.0	66224.0
459.0	66409.0
460.0	66662.0
461.0	66702.0
462.0	67082.0
463.0	67216.0
464.0	67527.0
465.0	67644.0
466.0	67579.0
467.0	68131.0
468.0	67990.0
469.0	68743.0
470.0	68519.0
471.0	68987.0
472.0	68844.0
473.0	69240.0
474.0	69557.0
475.0	69913.0
476.0	70475.0
477.0	70441.0
478.0	70330.0
479.0	70259.0
480.0	70589.0
481.0	70899.0
482.0	71304.0
483.0	71246.0
484.0	71450.0
485.0	71521.0
486.0	71700.0
487.0	71714.0
488.0	72095.0
489.0	71893.0
490.0	72821.0
491.0	71474.0
492.0	72141.0
493.0	72824.0
494.0	71867.0
495.0	71504.0
496.0	72916.0
497.0	72673.0
498.0	72493.0
499.0	72525.0
500.0	72449.0
501.0	71887.0
502.0	72331.0
503.0	72462.0
504.0	71819.0
505.0	72344.0
506.0	71951.0
507.0	72165.0
508.0	71608.0
509.0	71478.0
510.0	71880.0
511.0	71612.0
512.0	71642.0
513.0	71371.0
514.0	71616.0
515.0	71339.0
516.0	71346.0
517.0	71163.0
518.0	70744.0
519.0	70719.0
520.0	70447.0
521.0	70516.0
522.0	70504.0
523.0	69400.0
524.0	68792.0
525.0	68489.0
526.0	67666.0
527.0	67020.0
528.0	67218.0
529.0	65951.0
530.0	65048.0
531.0	65069.0
532.0	65068.0
533.0	63805.0
534.0	63974.0
535.0	63628.0
536.0	63152.0
537.0	62392.0
538.0	61638.0
539.0	60985.0
540.0	60322.0
541.0	59701.0
542.0	59908.0
543.0	58884.0
544.0	58039.0
545.0	57311.0
546.0	56565.0
547.0	56153.0
548.0	55362.0
549.0	53892.0
550.0	53735.0
551.0	53016.0
552.0	52208.0
553.0	51231.0
554.0	50719.0
555.0	50131.0
556.0	48827.0
557.0	47767.0
558.0	47765.0
559.0	46704.0
560.0	45683.0
561.0	44754.0
562.0	44135.0
563.0	42783.0
564.0	42404.0
565.0	41224.0
566.0	40531.0
567.0	39193.0
568.0	38638.0
569.0	37847.0
570.0	36926.0
571.0	35916.0
572.0	35389.0
573.0	34258.0
574.0	33378.0
575.0	32601.0
576.0	31879.0
577.0	31312.0
578.0	29980.0
579.0	29304.0
580.0	28482.0
581.0	27594.0
582.0	27030.0
583.0	26114.0
584.0	25467.0
585.0	24539.0
586.0	24067.0
587.0	23189.0
588.0	22398.0
589.0	21881.0
590.0	21119.0
591.0	20482.0
592.0	19869.0
593.0	19159.0
594.0	18349.0
595.0	17894.0
596.0	17114.0
597.0	16707.0
598.0	16170.0
599.0	15519.0
600.0	14761.0
601.0	14388.0
602.0	14084.0
603.0	13488.0
604.0	13029.0
605.0	12630.0
606.0	12026.0
607.0	11510.0
608.0	11420.0
609.0	10970.0
610.0	10593.0
611.0	9943.0
612.0	9704.0
613.0	9437.0
614.0	8940.0
615.0	8599.0
616.0	8213.0
617.0	8003.0
618.0	7709.0
619.0	7445.0
620.0	7037.0
621.0	6993.0
622.0	6857.0
623.0	6500.0
624.0	6081.0
625.0	5968.0
626.0	5910.0
627.0	5584.0
628.0	5360.0
629.0	5148.0
630.0	4971.0
631.0	4746.0
632.0	4615.0
633.0	4387.0
634.0	4273.0
635.0	4076.0
636.0	3941.0
637.0	3814.0
638.0	3774.0
639.0	3639.0
640.0	3566.0
641.0	3419.0
642.0	3392.0
643.0	3292.0
644.0	3188.0
645.0	3078.0
646.0	3078.0
647.0	3016.0
648.0	2847.0
649.0	2843.0
650.0	2722.0
651.0	2686.0
652.0	2642.0
653.0	2640.0
654.0	2550.0
655.0	2505.0
656.0	2543.0
657.0	2516.0
658.0	2432.0
659.0	2471.0
660.0	2348.0
661.0	2318.0
662.0	2265.0
663.0	2320.0
664.0	2195.0
665.0	2238.0
666.0	2150.0
667.0	2158.0
668.0	2115.0
669.0	2138.0
670.0	2036.0
671.0	2066.0
672.0	2014.0
673.0	2032.0
674.0	1977.0
675.0	1937.0
676.0	1952.0
677.0	1994.0
678.0	1956.0
679.0	1877.0
680.0	1841.0
681.0	1802.0
682.0	1844.0
683.0	1799.0
684.0	1776.0
685.0	1799.0
686.0	1791.0
687.0	1777.0
688.0	1771.0
689.0	1714.0
690.0	1722.0
691.0	1670.0
692.0	1740.0
693.0	1689.0
694.0	1610.0
695.0	1679.0
696.0	1713.0
697.0	1586.0
698.0	1564.0
699.0	1617.0
700.0	1575.0
701.0	1570.0
702.0	1578.0
703.0	1617.0
704.0	1520.0
705.0	1553.0
706.0	1556.0
707.0	1581.0
708.0	1479.0
709.0	1552.0
710.0	1502.0
711.0	1430.0
712.0	1517.0
713.0	1466.0
714.0	1307.0
715.0	1358.0
716.0	1402.0
717.0	1376.0
718.0	1321.0
719.0	1278.0
720.0	1233.0
721.0	1281.0
722.0	1273.0
723.0	1271.0
724.0	1220.0
725.0	1258.0
726.0	1305.0
727.0	1188.0
728.0	1213.0
729.0	1234.0
730.0	1189.0
731.0	1200.0
732.0	1240.0
733.0	1190.0
734.0	1185.0
735.0	1155.0
736.0	1171.0
737.0	1147.0
738.0	1080.0
739.0	1157.0
740.0	1117.0
741.0	1199.0
742.0	1074.0
743.0	1249.0
744.0	1135.0
745.0	1095.0
746.0	1106.0
747.0	1094.0
748.0	1138.0
749.0	1091.0
750.0	1059.0
751.0	1144.0
752.0	1082.0
753.0	1104.0
754.0	1108.0
755.0	1067.0
756.0	1088.0
757.0	1088.0
758.0	1086.0
759.0	1062.0
760.0	1074.0
761.0	1001.0
762.0	1069.0
763.0	1004.0
764.0	1022.0
765.0	1083.0
766.0	1085.0
767.0	1055.0
768.0	1010.0
769.0	1020.0
770.0	1001.0
771.0	1014.0
772.0	988.0
773.0	994.0
774.0	987.0
775.0	1004.0
776.0	947.0
777.0	957.0
778.0	1000.0
779.0	943.0
780.0	967.0
781.0	977.0
782.0	924.0
783.0	871.0
784.0	939.0
785.0	943.0
786.0	895.0
787.0	921.0
788.0	926.0
789.0	899.0
790.0	877.0
791.0	842.0
792.0	860.0
793.0	873.0
794.0	920.0
795.0	886.0
796.0	856.0
797.0	845.0
798.0	869.0
799.0	869.0
800.0	813.0
801.0	863.0
802.0	887.0
803.0	885.0
804.0	845.0
805.0	833.0
806.0	859.0
807.0	864.0
808.0	779.0
809.0	815.0
810.0	807.0
811.0	868.0
812.0	791.0
813.0	842.0
814.0	860.0
815.0	839.0
816.0	821.0
817.0	804.0
818.0	862.0
819.0	870.0
820.0	831.0
821.0	785.0
822.0	790.0
823.0	843.0
824.0	800.0
825.0	779.0
826.0	786.0
827.0	770.0
828.0	745.0
829.0	719.0
830.0	787.0
831.0	776.0
832.0	750.0
833.0	745.0
834.0	773.0
835.0	869.0
836.0	786.0
837.0	777.0
838.0	820.0
839.0	749.0
840.0	762.0
841.0	814.0
842.0	716.0
843.0	732.0
844.0	734.0
845.0	708.0
846.0	709.0
847.0	647.0
848.0	655.0
849.0	561.0
850.0	614.0
851.0	686.0
852.0	695.0
853.0	661.0
854.0	602.0
855.0	667.0
856.0	637.0
857.0	680.0
858.0	660.0
859.0	596.0
860.0	622.0
861.0	638.0
862.0	650.0
863.0	622.0
864.0	609.0
865.0	636.0
866.0	658.0
867.0	653.0
868.0	633.0
869.0	603.0
870.0	632.0
871.0	654.0
872.0	678.0
873.0	587.0
874.0	642.0
875.0	588.0
876.0	573.0
877.0	640.0
878.0	656.0
879.0	635.0
880.0	579.0
881.0	613.0
882.0	614.0
883.0	604.0
884.0	607.0
885.0	615.0
886.0	621.0
887.0	653.0
888.0	583.0
889.0	587.0
890.0	616.0
891.0	619.0
892.0	630.0
893.0	588.0
894.0	580.0
895.0	599.0
896.0	625.0
897.0	575.0
898.0	599.0
899.0	584.0
900.0	559.0
901.0	553.0
902.0	551.0
903.0	544.0
904.0	518.0
905.0	533.0
906.0	556.0
907.0	503.0
908.0	512.0
909.0	500.0
910.0	473.0
911.0	552.0
912.0	530.0
913.0	505.0
914.0	490.0
915.0	505.0
916.0	470.0
917.0	525.0
918.0	520.0
919.0	516.0
920.0	487.0
921.0	489.0
922.0	510.0
