#Position (bp)	Coverage
384368.0	31.00630516367799
1153103.0	31.875083091052183
1921838.0	34.22017600343421
2690573.0	36.932308272681745
3459308.0	32.65123352000364
4228043.0	34.418460197597355
4996778.0	34.08108385854683
5765513.0	36.17424079819444
6534248.0	33.90394999577227
7302983.0	30.462948870547066
8071718.0	28.035568824107138
8840453.0	22.30518449140471
9609188.0	26.987562684149935
1.0377923E7	20.904547080593442
1.0801324E7	30.220259520668144
1.11856915E7	29.86584726670412
1.1915393E7	29.60369177935179
1.2684128E7	35.04377321183503
1.3452863E7	36.312953098271834
1.4221598E7	33.44350263744984
1.4990333E7	35.78676657105505
1.5759068E7	38.15973645014212
1.6527803E7	36.2499326816133
1.7296538E7	32.375533831554435
1.8065273E7	13.857693483450083
1.8834008E7	21.346603185753217
1.9602743E7	23.755750681314108
2.018777E7	20.289221292787033
2.05721375E7	12.233941907810221
2.1140213E7	14.035147352468666
2.1908948E7	19.10362088365952
2.2677683E7	31.01044443143606
2.3446418E7	36.09117576277911
2.4215153E7	34.22875893513369
2.4983888E7	39.011979420736665
2.5752623E7	38.24755995238932
2.6521358E7	36.59586723643388
2.7290093E7	29.13263478311772
2.8058828E7	22.974307140952344
2.86485735E7	26.732057474510416
2.9032941E7	30.35975015294193
2.9596298E7	35.84522494747865
3.0365033E7	37.807755598483226
3.1133768E7	37.18237494064925
3.1902503E7	34.9507138350667
3.2671238E7	33.51825401471248
3.3439973E7	35.905576043760206
3.4208708E7	38.797778168029296
3.4977443E7	30.76423214761914
3.5659712E7	25.858112496915926
3.60440795E7	25.50928110471168
3.6514913E7	30.684992877909814
3.7283648E7	33.894909168959394
3.8052383E7	36.42208823586802
3.8821118E7	37.54267465381438
3.9589853E7	40.522630035057595
4.0358588E7	35.16591413165786
4.1127323E7	35.92898983394798
4.1896058E7	38.586579250326835
4.2664793E7	37.681354432932025
4.3049519E7	106.70013947001395
4.34338865E7	22.99925913194743
4.4202263E7	19.07685743461661
4.4970998E7	16.195947888414082
4.5739733E7	15.540597214905006
4.6508468E7	20.654881070850163
4.7277203E7	17.666808458051214
4.8045938E7	20.524120795852927
4.8668911E7	12.926166831862636
4.90532785E7	30.741187689521276
4.9583408E7	32.35816373652819
5.0352143E7	35.625824243725084
5.1120878E7	37.91265520628045
5.1889613E7	33.94131137518131
5.2658348E7	36.01937989033932
5.3427083E7	37.9348331999974
5.38687855E7	37.31012470567716
5.4253153E7	26.99225306353344
5.4964553E7	23.775337404957494
5.5733288E7	24.293963459449614
5.6502023E7	30.773028416814636
5.7270758E7	30.636358433010074
5.8039493E7	32.565289729230486
5.85039505E7	31.73951179922587
5.8888318E7	17.038389299241647
5.9576963E7	18.113928727064593
6.0345698E7	15.806514598658836
6.1114433E7	19.3384157089244
6.1883168E7	18.438210826877924
6.2651903E7	20.485521018296293
6.3087631E7	17.12655640034657
6.34719985E7	9.59966757455549
6.4189373E7	20.745035675492854
6.4958108E7	18.94179268538573
6.5726843E7	20.055843691259017
6.6495578E7	19.23922157830722
6.7140034E7	14.562802661401792
6.75244015E7	35.44813283016439
6.8033048E7	30.144843151411084
6.8801783E7	28.29835248817863
