#GC Content (%)	Sample
1.0	1.095127979002329E-6
2.0	1.095127979002329E-6
3.0	1.2515748331455189E-6
4.0	9.386811248591391E-7
5.0	2.190255958004658E-6
6.0	1.8773622497182784E-6
7.0	2.033809103861468E-6
8.0	3.754724499436557E-6
9.0	5.632086749154835E-6
10.0	1.1107726644166481E-5
11.0	2.331058126733529E-5
12.0	3.926816038994065E-5
13.0	7.165265919758096E-5
14.0	1.2468814275212235E-4
15.0	2.1714823355074755E-4
16.0	3.377687580951469E-4
17.0	5.4881556433431E-4
18.0	8.430920969776502E-4
19.0	0.0012830206508283
20.0	0.001883150783321576
21.0	0.002571047600989182
22.0	0.0035086335978693193
23.0	0.004609706557329088
24.0	0.005831087147624973
25.0	0.007932950633038728
26.0	0.00789290023837807
27.0	0.010455030368681093
28.0	0.012377605759246752
29.0	0.014367609743948129
30.0	0.01679456979227143
31.0	0.019310235206893924
32.0	0.021987510221846328
33.0	0.025226742336881082
34.0	0.028203769524371838
35.0	0.03152732649378977
36.0	0.03506083514146785
37.0	0.0388731320832291
38.0	0.042748633554064205
39.0	0.04670705185759519
40.0	0.050501044517421684
41.0	0.05299371224448513
42.0	0.05388123524803944
43.0	0.053892655868391905
44.0	0.052688640878905915
45.0	0.05053968689039506
46.0	0.04746910448412667
47.0	0.04384955006666982
48.0	0.039466847894702506
49.0	0.03477266003613609
50.0	0.029964265974045154
51.0	0.027732551599692547
52.0	0.018809448826781573
53.0	0.016833055718390656
54.0	0.01305486419083262
55.0	0.009837691082232066
56.0	0.007150403468614492
57.0	0.0050685651805310655
58.0	0.0035184897496803396
59.0	0.0023456076841688453
60.0	0.0015295808929579676
61.0	0.0010072048469738561
62.0	6.523833817771018E-4
63.0	3.9283805075354975E-4
64.0	2.316977909860642E-4
65.0	1.5269212964375331E-4
66.0	9.026983484062054E-5
67.0	6.852372211471715E-5
68.0	3.69214575777928E-5
69.0	2.784754003748779E-5
70.0	1.6583366539178126E-5
71.0	9.54325810273458E-6
72.0	5.944980457441215E-6
73.0	3.285383937006987E-6
74.0	9.386811248591392E-7
75.0	3.7547244994365564E-6
76.0	1.5644685414318986E-7
77.0	4.6934056242956955E-7
78.0	4.6934056242956955E-7
79.0	1.5644685414318986E-7
80.0	7.822342707159493E-7
81.0	0.0
82.0	0.0
83.0	1.5644685414318986E-7
84.0	1.5644685414318986E-7
85.0	0.0
86.0	1.5644685414318986E-7
87.0	0.0
88.0	1.5644685414318986E-7
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	1.5644685414318986E-7
95.0	0.0
96.0	0.0
97.0	1.5644685414318986E-7
98.0	3.128937082863797E-7
99.0	0.0
100.0	7.353002144729924E-6
