#Read position (bp)	Clipping profile
0.0	8.292438718120087
1.0	1.802035485524499
2.0	1.7382191778461402
3.0	1.6590320054388499
4.0	1.5658143501603667
5.0	1.4565115163337483
6.0	1.4014807320018512
7.0	1.3403109033606682
8.0	1.2802629290190115
9.0	1.2179891337365463
10.0	1.1526312080452057
11.0	1.1086967343772367
12.0	1.0627564579648587
13.0	1.0181968106412678
14.0	0.9739463216776578
15.0	0.9300026060529296
16.0	0.8953452682054907
17.0	0.8604500245034086
18.0	0.8269333229966518
19.0	0.7965144657700908
20.0	0.7667216765820639
21.0	0.7419532324670942
22.0	0.7174802328407853
23.0	0.6941890111691194
24.0	0.672271263522943
25.0	0.6512481969165959
26.0	0.6326635162565214
27.0	0.6146050308764534
28.0	0.5976412701809082
29.0	0.5815444646549145
30.0	0.8225836407670248
31.0	0.8026871985024023
32.0	0.7687012440943821
33.0	0.7377356207808343
34.0	0.7155826504287514
35.0	0.7909585591195543
36.0	0.7713724677254622
37.0	0.7478934256422359
38.0	0.7239236654678537
39.0	0.7066921861539258
40.0	0.7319263056385101
41.0	0.7201109111131793
42.0	0.6990952976977671
43.0	0.6919777984825434
44.0	0.6878937479778375
45.0	0.6892955441288797
46.0	0.6791708314352292
47.0	0.6740299184559497
48.0	0.6659059403368727
49.0	0.6654247623301134
50.0	0.6658302159169738
51.0	0.6571734837098676
52.0	0.6515892549337783
53.0	0.648576377030241
54.0	0.6421216155529516
55.0	0.6456720175867163
56.0	0.6371041274155546
57.0	0.6327225455287262
58.0	0.6239575929892448
59.0	0.624293880964229
60.0	0.6234015849454988
61.0	0.6163219479402245
62.0	0.6135842418460049
63.0	0.6036878949226008
64.0	0.6003885163595245
65.0	0.6005313194978379
66.0	0.5980505994270547
67.0	0.5958027170410789
68.0	0.5960087232385204
69.0	0.5963813827852671
70.0	0.5958381942299292
71.0	0.5970933115833719
72.0	0.5972799394843827
73.0	0.5983493233197268
74.0	0.5992621901454375
75.0	0.599895115119632
76.0	0.6000716066809711
77.0	0.6012629247200109
78.0	0.6029747736139462
79.0	0.6031479857712743
80.0	0.6035811652284124
81.0	0.6046794674445842
82.0	0.604574228388583
83.0	0.6051838994070605
84.0	0.6055744466120511
85.0	0.6063063499618614
86.0	0.6068766681322025
87.0	0.6069500075310023
88.0	0.6074559301316655
89.0	0.6082322544994481
90.0	0.608809131477812
91.0	0.6102526654980898
92.0	0.611006928420705
93.0	0.6123315095136613
94.0	0.6139169522893403
95.0	0.615926928820673
96.0	0.6179044094395295
97.0	0.620199992247489
98.0	0.6227439153774003
99.0	0.6252946954429718
100.0	0.6289327470021313
101.0	0.6320314856652391
102.0	0.6351194917334005
103.0	0.6387220661037099
104.0	0.6432020301108794
105.0	0.6485092983118266
106.0	0.6542291751629317
107.0	0.6604326150418952
108.0	0.6667266857226275
109.0	0.6745152702496325
110.0	0.682893849371047
111.0	0.6909915922580331
112.0	0.6988061138894918
113.0	0.7062843475459663
114.0	0.7152585856869005
115.0	0.7248839345879105
116.0	0.7328427499958694
117.0	0.7391266843369302
118.0	0.7450883427019646
119.0	0.7540354512278956
120.0	0.7582017849605233
121.0	0.7466341345018697
122.0	0.7092101721793835
123.0	0.6174825588326123
124.0	0.26681409913093346
