#Position (bp)	Coverage
384368.0	26.21787612116009
1153103.0	25.61405295713087
1921838.0	27.987488536361685
2690573.0	31.874348117361638
3459308.0	26.081818832237378
4228043.0	27.830291322757517
4996778.0	27.248163541402434
5765513.0	30.060799885526222
6534248.0	28.488415383714806
7302983.0	24.65574092502618
8071718.0	22.49598366146982
8840453.0	19.354109023265494
9609188.0	23.140286314529714
1.0377923E7	18.04476184901169
1.0801324E7	23.79951836243227
1.11856915E7	22.93757058384057
1.1915393E7	22.839164341418044
1.2684128E7	29.99560186540225
1.3452863E7	30.900713509857102
1.4221598E7	27.6186826409621
1.4990333E7	30.295395682517384
1.5759068E7	33.440184198716075
1.6527803E7	30.61670666744717
1.7296538E7	26.917506032638034
1.8065273E7	13.223512653905441
1.8834008E7	17.891253813082532
1.9602743E7	19.48054010809967
2.018777E7	17.54102347509089
2.05721375E7	11.565002612842118
2.1140213E7	12.181275732209409
2.1908948E7	16.348179801882313
2.2677683E7	25.010287029990828
2.3446418E7	30.319681034426686
2.4215153E7	28.87902983472848
2.4983888E7	34.52358875295128
2.5752623E7	33.43565598027929
2.6521358E7	31.528113068872887
2.7290093E7	25.134245221044964
2.8058828E7	20.474076242138057
2.86485735E7	22.45809190857833
2.9032941E7	24.850088971699456
2.9596298E7	30.465512823014432
3.0365033E7	33.221725301957115
3.1133768E7	32.448326146201225
3.1902503E7	28.974322751013027
3.2671238E7	27.730649703734056
3.3439973E7	30.26566111859093
3.4208708E7	33.68675291225195
3.4977443E7	24.41272740281111
3.5659712E7	18.925698595005397
3.60440795E7	20.54733652533944
3.6514913E7	25.13290015414935
3.7283648E7	28.70609637911634
3.8052383E7	31.50230443520849
3.8821118E7	33.39809947511171
3.9589853E7	35.38591842442454
4.0358588E7	29.272209539047918
4.1127323E7	30.19403565598028
4.1896058E7	34.719777296467576
4.2664793E7	32.89888843359545
4.3049519E7	109.24686192468619
4.34338865E7	20.18341757615056
4.4202263E7	15.140614125804081
4.4970998E7	12.8058459677262
4.5739733E7	15.08251347993782
4.6508468E7	23.594251595153075
4.7277203E7	14.906277195652597
4.8045938E7	18.026797270841058
4.8668911E7	10.381709558245724
4.90532785E7	28.644269425501847
4.9583408E7	26.734748645502027
5.0352143E7	30.34233123247933
5.1120878E7	33.6608154955869
5.1889613E7	27.59092405055058
5.2658348E7	30.449577552732737
5.3427083E7	33.07896609364735
5.38687855E7	32.40341850527601
5.4253153E7	25.909083959545306
5.4964553E7	23.00869870631622
5.5733288E7	22.079914404833914
5.6502023E7	28.293240193304584
5.7270758E7	30.503728853245917
5.8039493E7	31.82689483372033
5.85039505E7	27.367480334623547
5.8888318E7	13.268813829481312
5.9576963E7	14.877726394661359
6.0345698E7	13.75344559568642
6.1114433E7	16.485112555041724
6.1883168E7	15.062035681997047
6.2651903E7	16.29224245025919
6.3087631E7	15.910222836615688
6.34719985E7	7.9262282774836565
6.4189373E7	15.703786090135091
6.4958108E7	15.232029242847014
6.5726843E7	15.395398934613358
6.6495578E7	15.703127865909579
6.7140034E7	12.242452088423748
6.75244015E7	26.875859960250725
6.8033048E7	23.23375415455261
6.8801783E7	22.110775494806404
6.9570518E7	20.16916362595693
7.0339253E7	18.914039298327772
7.11040115E7	15.4483768017645
7.1488379E7	39.36338488620646
7.1876723E7	23.17433445855854
7.2645458E7	30.362461706569885
7.3414193E7	35.23544524446005
7.4182928E7	31.7048358667161
7.4951663E7	28.475652858267154
7.5358208E7	20.009852327809718
7.57425755E7	23.240854247770507
7.6489133E7	26.21154103819912
7.7257868E7	22.45696241227471
7.8026603E7	24.234599699506333
7.8795338E7	25.661793726056445
7.92080895E7	18.76902480270575
7.9592457E7	27.468393900279086
8.0332808E7	18.211137778298113
8.1101543E7	21.488237168855328
8.1870278E7	22.481964526137094
8.26063115E7	16.238486234097127
8.2990679E7	11.519028179135514
8.3407748E7	13.843661339733458
8.4176483E7	11.743526702960057
8.4945218E7	13.707786168185395
8.5713953E7	17.04830793446376
8.6362088E7	13.371073009373786
8.67464555E7	10.368573797678275
8.7251423E7	16.21181031174592
8.8020158E7	15.277371265780795
8.8788893E7	13.32427949813655
8.9557628E7	12.556492159196603
9.0098611E7	10.23884609122341
9.04829785E7	25.700731497418243
9.1095098E7	26.5138740918522
9.1863833E7	27.355634906697368
9.2632568E7	25.973021912622684
9.3401303E7	21.36893728007701
9.38242175E7	24.27670117000026
9.4208585E7	16.02212130281461
9.4938773E7	17.288381561916655
9.5707508E7	15.46591868459222
9.6476243E7	15.272758492848642
9.71220675E7	10.662523856695366
9.7506435E7	18.13590783537615
9.8013713E7	22.092401152542813
9.8782448E7	16.56403962353737
9.9551183E7	13.444592740020944
1.00269334E8	12.458391442357097
1.006537015E8	4.167928594021825
1.01088653E8	13.864195073725016
1.01857388E8	15.837521382531042
1.02626123E8	14.376824263237657
1.033545365E8	22.495398871081193
1.03738904E8	5.6599704872090575
1.04163593E8	9.345375194312735
1.04932328E8	13.42384827021015
1.05701063E8	8.297101081647122
1.06347158E8	7.769836948734849
1.067315255E8	22.31836268754077
1.07238533E8	15.34847639303531
1.08007268E8	14.913144321515217
1.08776003E8	19.23788691811873
1.09309377E8	22.708308026831045
1.096937445E8	27.40605495387936
1.10313473E8	26.97531268902808
1.11082208E8	31.98477628831782
1.11850943E8	43.14315596401881
