#Position (bp)	insert size
384368.0	933.7650914600672
1153103.0	898.862548679738
1921838.0	548.3597629883021
2690573.0	397.100859460762
3459308.0	437.39586964385546
4228043.0	409.6916759065336
4996778.0	407.62892470421
5765513.0	369.63419458640925
6534248.0	429.3288807368715
7302983.0	338.4825954322434
8071718.0	359.3812302978896
8840453.0	347.1444528074665
9609188.0	371.4062589471326
1.0377923E7	336.36783826724167
1.0801324E7	341.76243504083146
1.11856915E7	534.0599151202463
1.1915393E7	418.1979370331378
1.2684128E7	480.9955342359475
1.3452863E7	449.5113080572206
1.4221598E7	407.49962494476927
1.4990333E7	508.8099114578932
1.5759068E7	413.4498687664042
1.6527803E7	354.1142044507032
1.7296538E7	380.3806181269011
1.8065273E7	509.8192912774314
1.8834008E7	401.9043510455065
1.9602743E7	382.24207245927306
2.018777E7	336.17412681182554
2.05721375E7	1820.164136520241
2.1140213E7	952.9274765721481
2.1908948E7	1528.0199900405491
2.2677683E7	526.5117138212861
2.3446418E7	370.57493434164695
2.4215153E7	391.25642033671755
2.4983888E7	342.6745775225595
2.5752623E7	412.89895355334676
2.6521358E7	341.4863325843102
2.7290093E7	375.114456169391
2.8058828E7	339.82958335688846
2.86485735E7	338.44572176603594
2.9032941E7	470.0678007889546
2.9596298E7	466.795302512264
3.0365033E7	384.7947188806416
3.1133768E7	464.4031570859817
3.1902503E7	347.4342424689174
3.2671238E7	350.4480892866327
3.3439973E7	361.59386121834103
3.4208708E7	343.6995119977749
3.4977443E7	357.0016854660962
3.5659712E7	338.0579361479758
3.60440795E7	337.62848454130767
3.6514913E7	652.7027295795899
3.7283648E7	461.65344413555334
3.8052383E7	419.05438496839867
3.8821118E7	514.220655432471
3.9589853E7	398.1875614926209
4.0358588E7	341.93744767838024
4.1127323E7	343.78228531516055
4.1896058E7	341.766327668895
4.2664793E7	346.4830675830667
4.3049519E7	125.74425287356321
4.34338865E7	736.1579197481362
4.4202263E7	1725.3545287346822
4.4970998E7	935.3295838865646
4.5739733E7	1084.816987916825
4.6508468E7	2434.2872811555812
4.7277203E7	662.4363555536738
4.8045938E7	426.6008310398791
4.8668911E7	339.73867310012065
4.90532785E7	340.66800668267723
4.9583408E7	341.8021700624715
5.0352143E7	341.5679126763464
5.1120878E7	350.47131505560594
5.1889613E7	344.6669735018514
5.2658348E7	345.15885353412676
5.3427083E7	340.2061350114024
5.38687855E7	342.92246696035244
5.4253153E7	1783.5044393167966
5.4964553E7	3635.9441434890628
5.5733288E7	1423.5883747307785
5.6502023E7	894.2426532160343
5.7270758E7	517.1009624630262
5.8039493E7	342.36525529481094
5.85039505E7	338.03668573722774
5.8888318E7	962.470177354911
5.9576963E7	783.6853709042186
6.0345698E7	876.8083143384348
6.1114433E7	526.139282614984
6.1883168E7	367.580391847365
6.2651903E7	384.58915949459805
6.3087631E7	326.2131170662905
6.34719985E7	704.3399177732622
6.4189373E7	544.5490011011483
6.4958108E7	487.02116139780253
6.5726843E7	393.562687680508
6.6495578E7	357.6813378629479
6.7140034E7	339.24945467548724
6.75244015E7	353.5246533381641
6.8033048E7	446.4163402557091
6.8801783E7	355.70747552501746
6.9570518E7	353.6446591672503
7.0339253E7	351.6409748456648
7.11040115E7	333.8172893688283
7.1488379E7	349.0067204301075
7.1876723E7	401.6894297220703
7.2645458E7	363.8790170309024
